,Section ID,Text Section,Title,Author,Translated Text
31416,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-2-0-218-1,"
			219 Καλλιερῶ: ῥῆμα. τὸ δεύτερον καλλιερεῖϲ· τὸ δὲ ὄνομα καλλιέρημα.
                                ἔϲτι δὲ ἕκαϲτον θῦμα θεῷ φίλον. καὶ Χριϲτιανοὶ μὲν τότε
                                καλλιεροῦϲιν, ὅταν ἑαυτοὺϲ τῷ θεῷ προϲαγάγωϲι, πνεῦμα γεγενημένοι
                                ϲυντετριμμένον καὶ καρδία τεταπεινωμένη. Ἕλληνεϲ δὲ τότε καλλιερεῖν
                                    
		",Suidae lexicon,Suda,None
35934,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-2-0-2124-1,"
			2153 Κοτταβίζειν: παίζειν. εἰϲ χαλκᾶϲ δὲ φιάλαϲ, αἲ καλοῦνται
                                λαταγεῖα, ἀνερρίπτουν ἐμβάλλοντέϲ τι πόμα· καὶ εἰ ἐγένετο μείζων
                                ψόφοϲ, ἐδόκουν ὑπὸ τῶν ἐραϲτῶν ἐρᾶϲθαι. κότταβοϲ δὲ λέγεται τὸ
                                λεῖμμα τοῦ ποτηρίου, ὃ ἐνέβαλλον εἰϲ τὰϲ λαταγάϲ. ἦν δὲ παίγνιον 
		",Suidae lexicon,Suda,None
39045,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-2-1-602-0-1,"
			588
                                    ═ Et. M. 566, 51 cf. Call. fr. 38 K. 66 e S. 589 ═ P cf. Ba 290,
                                    1 ═ Σa 591 — καταλιπών ═ P, Σa cf. Ba 291, 4, H, Bk. 277, 1.
                                    Λειποτακτήϲαϲ sq. cf. P ═ rec. in Ba 291, 6 592 ═ P, Ba 291, 8
                                    cf. Ambr. 550, Zon. 1313 593 —ἐπιθυμῶ ═ Ambr. 551, Ps. Herodian.
                                    77 et 248; Orion 94, 21 unde Et. M. 566, 57 cf. sch. Ap. Rh. 4,
                                    813. λελιημένοϲ cf. Ambr. 397 596 cf. Ambr. 460, Et. M. 562, 37
                                    L, H 597 cf. Ambr. 491 598 — λέων ═ An. Ox. 2, 459, 30; Orion
                                    91, 28 unde Et. M. 567, 4; sch. 109; Ap. S. 108, 31, unde H cf.
                                    Ambr. 464 ἐϲ sq. Babr. p. 216, fr. 5 599 — ὁμαλάϲ cf. sch. ε 412
                                    600 cf. Ambr. 510, sch. Ap Rh. 2, 382, sch. ε 412, Et. M. 567,
                                    13 601 cf. sch. Α 174, H 602 ═ P, Ba 291, 9 cl. H (in Α 174
                                    cett) 603— ἀϲτραγάλουϲ sch. Ar. Ran. 826 Λιϲπόπυγοι sq. cf.
                                    Poll. 2, 184, Phryn. 86,11 604 ═ P cf. sch. Pl. Conv. 193a, H,
                                    Tim.
		",Suidae lexicon,Suda,None
39573,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-2-1-808-0,"
			810 Λυκομήδειοϲ. τῇ Λυκομηδείου παιδὶ φιλαϲτραγάλῃ.
		",Suidae lexicon,Suda,None
39773,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-2-2-5-1,"
			6 Μαγάϲ: ϲανὶϲ τετράγωνοϲ ὑπόκυφοϲ, δεχομένη ἐφ᾿ ἑαυτὴν τὰϲ τῆϲ
                                κιθάραϲ νευράϲ, καὶ ἀποτελοῦϲα φθόγγον. ἡ τῆϲ κιθάραϲ καβάλη καὶ τῆϲ
                                λύραϲ, ἡ τὰϲ νευρὰϲ βαϲτάζουϲα. ἔϲτι δὲ καὶ εἱλητικὸν 
		",Suidae lexicon,Suda,None
40363,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-2-2-243-1-4,"
			233 om. F 234 om. AF mg. ArM post vs. 13
                                    ἀποδείκνυμι 5 Μαρτυρία om. G ὅτι V: καὶ Ar om. GM τῆϲ μαρτυρίαϲ
                                    om. Ar πῶν] τὴν 6 μαρτυρίαν G ss. VM: παρουϲίαν Vac Mac; μ.
                                    δηλοῖ] ἐϲτίν Ar, v. 495 9 Σοφοκλῆϲ —13 ἀποδείκνυμι om. F 12 ὡϲ]
                                    ὥϲτ᾿ V μαρτύρομαί— 13 ἀποδείκνυμι om. A mg. Ar 14 οἱ— 15 μεγάλου
                                    om. AFV mg. Ar 16 ὅταν] ἐνίοτε Kust. ἐπαγάγωνται A 238 om. AF
                                    mg. Ar 18 ἐπήγγειλα Ar 21 καταχρήϲηται G 243 om. GM, extra ord.
                                    28 ἔθνοϲ om. F 29 Μανάϲϲηϲ AGF cf. p. 333, 14
		",Suidae lexicon,Suda,None
48714,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-3-0-2-0,"
			2 Παγάϲ· Δημοϲθένηϲ ἐν Φιλιππικοῖϲ. ἐπίνειόν ἐϲτι Φεραίων.
		",Suidae lexicon,Suda,None
49450,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-3-0-303-0,"
			303 Παραγάγῃϲ: παρηγορήϲῃϲ. μηκέτι παραγάγῃϲ, ἴν’ οὐ πάρειϲιν 
		",Suidae lexicon,Suda,None
52779,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-3-0-1672-2,"
			1673 Πλαγάϲ· Ἠλέκτρα· θρηνοῦϲα γὰρ ἔτυπτε τὸ ϲτῆθοϲ πρὸϲ ἕκαϲτον
                                Ἠλέκτρα. πολλὰϲ δ᾿ ἀντήρειϲ ᾔϲθου ϲτέρνων πλαγὰϲ αἱμαϲϲομένων.
		",Suidae lexicon,Suda,None
59937,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-3-2-926-1,"
			939 Δπήλυγξ· ϲπήλυγγαϲ, ῥαγάϲ.
		",Suidae lexicon,Suda,None
59946,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-3-2-929-5,"
			3 Σπεῖραι] nov. gl. V 4 καὶ—7 εἵλιγμα om. F 5 τι
                                om. V μὴν τι G om. A 6 προϲέλθῃ GV 7 παραπεπληγμένω V
                                περιπεπλεγμένωϲ GMec, Zon. Σπείραμα G, Bhd. cf. Hes, Σπείριγμα AV,
                                ss. cod. V in Et. 935 om. F. Σπείρω, τὸ καταβάλλω ἐν τῇ γῇ ϲπέρμα
                                mg. add. V 10 ἐθέλειν ante εἰρήνην transpos. F ὑπὲρ] καὶ ὑπέρ V,
                                Bhd. 13 τόϲϲον V M, vv. Π 2244 et 2954 14 κοιώϲϲω ζήτει G; ζήτει ss.
                                M κοίληϲ ἔϲω Babr. ϲπήλυγγεϲ V οἷά— 17 Σπήλαιον om. F 939 non nov.
                                gl. GVM; post l. καὶ add. GM 16 ϲπηήλυγγαϲ nov. gl. V ϲπήλυγγοϲ
                                Bhd., quia ῥαγάϲ nomin. est, Kust., v. Π 1506 con tulit Gsf. 940
                                extra ord.; post gl. καὶ ϲύλαιον add. V cf. p. 417, 26 18 τροπικῶϲ
                                om. G 20 ἄγειν A ἀγαγὼν Chrys., hiat oratio 21 τὴν] καὶ τὴν A 24
                                τοῦ] τὸ τοῦ V
		",Suidae lexicon,Suda,None
61829,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-3-2-1683-1,"
			1701 Σφαγάϲ: τὰϲ κατακλεῖδαϲ. Θουκυδίδηϲ· καὶ ὀϊϲτοὺϲ καθίεϲαν 
		",Suidae lexicon,Suda,None
61988,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-3-2-1741-1,"
			1761 Σφυρά: τὰ περὶ τοὺϲ ἀϲτραγάλουϲ. Σφῦρα δὲ τὸ τεκτονικὸν 
		",Suidae lexicon,Suda,None
61992,Data/tlg9010tlg0011st1K-grc1_clean.xml1-0-0-3-2-1742-1-3,"
			1758— ἀνθῶν P, Ba 378, 2, Et M, 739, 5 cf. H ὡϲ—
                                    εὐϲωματεῖϲ Ar. Lys. 80—1 c. sch. 80 cf. H νεάζοντόϲ— ϲῶμα Men.
                                    Prot (fr. 4, FHG 4, 203 ═ EL 442, 18, 20) contulit Burney οὕτω—
                                    πόλεμοϲ Th. Simoc 1, 15, 14 E 480, 25 εὐϲωματεῖ — ἐϲτί Ar. Nu
                                    799 c. sch. Σφριγῶντεϲ sq. Tim cf. Et M 739, 6, Ambr. 1066, sch.
                                    Ap. Rh 3, 1258 1759 ═ Ba 378, 4, P v. ϲφυγμόϲ, Zon. 1695, H 1760
                                    — ἅλλονται ═ P, Ba 378, 5 cf. H ϲφύζειϲ sq. Pisid. fr. 148 1761
                                    — ἀϲτραγάλουϲ ═ P, Ba 378, 6 cf. H, sch Δ 147, Et M. 739, 34
                                    Σφῦρα—ἐ ἐργαλεῖον cf. H δουριτυπῆ sq. Anth. 6, 103, 12 1762 Ar.
                                    Pac. 788 — 792 c. sch.
		",Suidae lexicon,Suda,None
65799,Data/tlg0062tlg0321st1K-grc1_clean.xml1-0-0-10-0,"
			8 τάχʼ ἂν δικάσαιμι κατὰ τὴν τέχνην· αὗται
δὲ πᾶσαι τε ὁμοίως καλαὶ καὶ οὐκ οἶδʼ ὅπως ἄν
τις ἀπὸ τῆς ἑτέρας ἐπὶ τὴν ἑτέραν μεταγάγοι τὴν
ὄψιν ἀποσπάσας· οὐ γὰρ ἐθέλει ἀφίστασθαι
ῥᾳδίως, ἀλλʼ ἔνθα ἂν ἀπερείσῃ τὸ πρόῶτον, τούτου
ἔχεται καὶ τὸ παρὸν ἐπαινεῖ· κἂν ἐπʼ ἄλλο μεταβῇ,
κάωῖνο καλὸν ὁρᾷ καὶ παραμένει, καὶ ὑπὸ τῶν
πλησίον παραλαμβάνεται. καὶ ὅλως περικέχυταί
μοι τὸ κάλλος αὐτῶν καὶ ὅλον περιείληφέ με καὶ
ἄχθομαι, ὅτι μὴ καὶ αὐτὸς ὥσπερ ὁ Αργος ὅλῳ
βλέπειν δύναμαι τῷ σώματι. δοκῶ δʼ ἄν μοι
καλῶς δικάσαι πάσαις ἀποδοὺς τὸ μῆλον. καὶ
γὰρ αὖ καὶ τόδε, ταύτην μὲν εἶναι συμβέβηκεν

		",Dearum judicium,Lucianus Samosatenus,None
69847,Data/tlg1764tlg0011st1K-grc1_clean.xml1-0-0-1-19-13-0-3,"
			1 ὕφους M] ἤθους S 3 i. e. fines suos vel
                                    domos inter se mutantes, cf. Maneth. IV; 181; VI 670, infra 77,
                                    29 6 φιλοπέκτας S, cf. Maneth. IV 448 σκόπας S, σκώπτρας M 7
                                    μεγαλογράφους MS nolui κωμφδούς 8 ὁὲ καὶ om. S 9 ποιητκοί M ἦν S
                                    9—10 πολύκοινοι M 10 τρόπων ἑτέρων S 11 cf. Anub. 204, 26 12 οὐ
                                    M] καὶ S πολυκοίνους MSb 13 πρεσβυτέροις S 14 ἢ καὶ ταῖς τῶν
                                    πατ. M 16 ἐπιγνύμεναι M ταῖς Ma 17 μέντοι γε M ζῳδίων μοίρας
                                    μόνον ἐναλλαγάς M 19 nempe ἐπικοινουμένσυς (tuetur cl. Lucianl
                                    Alex. 49 Rad. „qui in re venerea obdormiscunt“ καὶ alterum om. M
                                    20 πολυκοίνους M, πολυκοίνα S? μηδὲ S] καὶ μὴ M 24 ἐὰν — γίνηται
                                    om. M 25 παροξύνονται M τὸ om. M 28 ἐπαγωγῶν S, διαγωγῆς M nempe
                                    περιπίπτουσιν aut περιτρέπονται
		",Anthologiarum libri ix,Vettius Valens,None
70474,Data/tlg1764tlg0011st1K-grc1_clean.xml1-0-0-4-7-2-0,"
			Τὴν δὲ ἀντιγένεσιν ἀναγκαίως ποιήσομεν πολλὰ γὰρ συμβάλλεται πρὸς τὰς
                                καιρικὰς τῶν χρόνων ἐναλλαγάς· ὁτὲ μὲν γὰρ συμβεβαιοῦσα τὰς τῶν
                                ἀποτελεσμάτων δυνάμεις, ὁτὲ δὲ κωλύουσα ἰδίων ἀποτελεσμάτων ἐστὶ
                                δηλωτική. τῇ οὖν γενεθλιακῇ ἡμέρᾳ κατὰ τὸ ἔτος τὸ καταγόμενον
                                ψηφίσαντες ἀκριβῶς τοὺς ἀστέρας 
		",Anthologiarum libri ix,Vettius Valens,None
73959,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-0-5-56-1,"
			σφυρά] τὰ ἀπολήγοντα μέρη πρὸς τῷ ἀστραγάλῳ, καὶ ἐκ πλαγίων
ἐξέχοντα τῆς κνήμης καὶ τῆς περόνης. εἴρηται δὲ μεταφορικῶς ἀπὸ 
		",Scholia in Iliadum,Scholia in Homerum,None
76780,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-0-15-3-0,"
			1. Μενοιτίου ἄλκιμος υἱός] Πάτροκλος ὁ Μενοιτίου τρεφόμενος
ἐν Ὀποῦντι τῆς Λοκρίδος περιέπεσεν ἀκουσίῳ πταίσματι· παῖδα
γὰρ ἡλικιώτην Ἀμφιδάμαντος οὐκ ἀσήμου Κλεισώνυμον, ἢ ὥς τινες
Αἰάνην, περὶ ἀστραγάλων ὀργισθεὶς ἀπέκτεινεν. ἐπὶ τούτῳ δὲ φυγὼν
εἰς Φθίαν ἀφίκετο, κἀκεῖ κατὰ συγγένειαν Πηλέως Ἀχιλλεῖ συνῆν. 
		",Scholia in Iliadum,Scholia in Homerum,None
76787,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-0-15-9-0-0,"
			8. Κλεισώνυμον] κλισώνυμον. δόσις
Con. schol. ad 16, 4. 23, 86. 29. Scholion hoc Porphyrii non
9. Αἰάνην (cum Btrabone 9 P. inter scholia ipsa scriptum est, sed
in margine scholiorum exteriore
425)] οἴαν
*περὶ ἀστραγάλων] om. ab alia manu litteris minoribus.
27. ἀνταπόδοσις Friedl.] ἀντί-
		",Scholia in Iliadum,Scholia in Homerum,None
82061,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-1-12-38-0,"
			88. ἀμφʼ ἀστραγάλοισι 
		",Scholia in Iliadum,Scholia in Homerum,None
82063,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-1-12-38-2,"
			*ὅτι ἅπαξ τῆς διὰ τῶν ἀστραγάλων παιδιᾶς μέμνηται.
		",Scholia in Iliadum,Scholia in Homerum,None
88470,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-3-5-86-1,"
			*σφυρά] τὰ ἀπολήγοντα μέρη πρὸς τῷ ἀστραγάλῳ, καὶ ἐκ πλαγίων

		",Scholia in Iliadum,Scholia in Homerum,None
90686,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-3-12-17-0,"
			53. ὧρσε κακὸν Κρονίδης] ὁ Ζεὺς αὐτοὺς προτρέπεται, ὅπως
ἐξελθόντων καὶ τρωθέντων ἐξαγάγοι Πάτροκλον.
		",Scholia in Iliadum,Scholia in Homerum,None
92279,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-4-4-266-0,"
			680. ἐκ πολέων πίσυρας συναγείρεται] ἀντὶ τοῦ ἐκ πολλῶν τοὺς
ἐπιτηδείους, οἷον ἀρίστους καὶ ἰσοταχεῖς συναγάγῃ ἐκλεξάμενος·
κίνδυνος γὰρ ἐκπεσεῖν μεθαλλομένῳ ἀπὸ ἄλλου εἰς ἄλλον. οἱ δὲ
συναείρεται, ἀντὶ τοῦ συζεύξει, ὡς τὸ “σὺν δʼ ἤειρεν ἱμᾶσιν” (Il.
10, 499).
		",Scholia in Iliadum,Scholia in Homerum,None
92371,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-4-5-54-0,"
			101. ὣς οἱ μέν] μέτεισιν ἐπὶ τὴν μάχην, ὅπως τὴν ναῦν ἐμπιπρα-
μένην δείξας Ἀχιλλεῖ τὸν Πάτροκλον ἐξαγάγῃ. καλῶς δὲ τῇ ἐκ-
λογῇ τῶν ὀνομάτων χρῆται· φυγὴν γὰρ οὐκ ὠνόμασεν, ἀλλʼ ὅτι
μένειν οὐκ ἐδύνατο, καὶ τὰς πολλὰς αἰτίας ἐπάγει. θαυμάσιον δὲ τὸ
κατὰ τὴν ἀπαγγελίαν ὁρῶ. φασὶ μὲν γὰρ ὅτι οἱ ποιηταὶ φαντασίαν 
		",Scholia in Iliadum,Scholia in Homerum,None
93244,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-4-7-238-0,"
			551. ἤμων] δαιμονίως πᾶσαν γεωργίας ἰδέαν κατέγραψε τῇ
ἀσπίδι, περὶ ἀρότρου, περὶ θερισμοῦ. μετέπειτα δὲ καὶ ἀμπελό-
φυτον διατυπώσει· τὸ γὰρ ὅλον τοῦ τρόπου διδασκαλικόν ἐστιν.
δρεπάνας] Ἰωνικῶς· οὗτοι γὰρ τρέπουσι πάντα εἰς θηλυκὰ, ὡς τὸ
τάφρη καὶ ἀστραγάλη.
		",Scholia in Iliadum,Scholia in Homerum,None
93346,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-4-8-52-0,"
			104. ἐκφανεῖ] ἐξαγάγῃ πρὸς τὸ φῶς καὶ φανερώσει, ὅ ἐστι
γεννηθῆναι ποιήσει.
		",Scholia in Iliadum,Scholia in Homerum,None
94375,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-4-12-46-1,"
			7. *Πορφυρίου] om. ἐν παιδιᾷ ἀστραγάλων] * ὤς φησιν
27. τὸ ἐφήσομαι—έντολεῖς] Scho- Ἀλέξανδρος ὁ Αἰτωλὸς ἐν ἀστρολογι-
lion manus recentissimae. σταῖς, ubi recte Μeinekius Ἀστρα-
30. Ὀθρυονεῖ] ὀθρυωνεῖ γαλισταῖς.
		",Scholia in Iliadum,Scholia in Homerum,None
102077,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-6-9-187-0,"
			316. πύκασε φρένας ἡνιόχοιο] λείπει ἡ περί, ὡς “οἰκτροτάτοην
〈δ᾿ 〉 ἤκουσα ὅπα Πριάμοιο θυγατρός” (Od. 11. 420)· οὐ γὰρ αὐτῆς
ὄπα ἀλλὰ περὶ αὐτῆς, ἣν ἔλεγε Κλυταιμνήστρα καταβοῶσα Ἀγα-
μέμνονος, ὅτι ἐπαγάγοι αὐτῇ βάρβαρον γυναῖκα· ὁ οὖν ἐξ αὐτῆς 
		",Scholia in Iliadum,Scholia in Homerum,None
106617,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-7-2-131-4,"
			 291. προμάχων ὀαριστύν] ἡ μάχη μεταφορικῶς· κυρίως γὰρ ὀαρί-
ζειν τὸ διδόναι τι καὶ λαμβάνειν καὶ ὁμιλεῖν. ἀντικαταλ〈λ〉άσσονται
δὲ σφαγάς. οἳ δὲ ἀριστύν, καὶ ὡς ὀτρυγηφάγος, ὀδάξ, ὀκλάξ, ὄτλος. 
		",Scholia in Iliadum,Scholia in Homerum,None
109600,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-7-5-54-1,"
			1. ὀργήν D: τροφήν vel τροφἡ ‖ confert W p. 174, 9 ‖ 3. προανά-ʼ
πείραν B ‖ 4. αὐτῷ vel ἐπʼ αὐτῷ W: ἑαυτῷ ‖ μετʼ αὐτὸν ἐξαγάγῃ B ‖ 8.
τὸ B: τοῦ ‖ 10. κινήσει ut textus ‖ 17. ἐὰν scripsi : εἰ ‖ 19, 20. τὸ
αὐτοέπαινον B: τὸν ἑαυτὸν ἔπαινον μέγα ‖ 22. μ. ἀπούσης οὑτοι δ. B ‖ 27.
ἐστρατοπέδευσαν οἱ B 28. ἔναυλος B
		",Scholia in Iliadum,Scholia in Homerum,None
115369,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-7-12-62-0,"
			88. ἀμφʼ ἀστραγάλοισι χολωθείς] αἱ πλείους “ἀμφʼ ἀστραγά- 
		",Scholia in Iliadum,Scholia in Homerum,None
116030,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-7-12-360-2-0,"
			4. ἄνωθεντῆς ‖ 6. Λαγορίιιν Meineke ad Steph. Byz. s. v.: Ἐλαγάρειαν
|| 5. schol. post ζυγῷ p. 433, 25, adiungitur: traiecit Bekker ‖ 7, 8.
lacunas indicavi ex Athenaeo X 456e explendas ‖ 8. φέρ ιν Ath.: φορεῖν
|| 9. μὴ W: μοὶ ‖ Πανοπηιάδῃ δώσειν μέγα Ath.: Πανοπῆι δη ὠσειν μετὰ
|| 13. ἦθοε W: ἦδος B, εἶδὸς ‖ 23. δὲ B pro γὰρ
		",Scholia in Iliadum,Scholia in Homerum,None
117396,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-8-3-4-0-0,"
			14. ἁ ante ταγάν omisi ‖ 21. τῇ κ. coni. Studemund ‖ 27, 28. inclusi: om. A,
περικαλλέος ὲκ κανέοιο codd. Od, ‖ 36. νῦν αὖτʼ codd. Il.
		",Scholia in Iliadum,Scholia in Homerum,None
118116,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-8-11-33-1,"
			1. κερδά A: κερδῶον ‖ 10. Αἰολικὰ scripsi, cf. A : ὁλγα legi ‖ 14. ad v. 80
κεφαλήν] καί superscriptum: omisi ‖ 20. φερμηνευτικόν ‖ 33. κατὰ W: καὶ ‖
34. διαγάγωσιν ‖ 37. ἀνετρέπετο alterum
		",Scholia in Iliadum,Scholia in Homerum,None
119004,Data/tlg5026tlg0011st1K-grc1_clean.xml1-0-0-8-24-8-0,"
			88. ἀστραγάλοισι] τοῖς κόττοις
		",Scholia in Iliadum,Scholia in Homerum,None
