	FPP	English	Sentiment
172	αδωνις	Adonis	NULL
173	αδων		NULL
174	αδωτης	one who gives nothing	NULL
175	αειγενετης	everlasting, immortal	NULL
176	αεικιη	unseemly treatment, outrage	NULL
177	αειλογια	a continual talking	NULL
178	αεινηστις	ever-fasting	NULL
179	ασμ		NULL
180	αειφῠγια	perpetual exile	NULL
181	αελλη	a stormy wind, whirlwind, eddy	NULL
182	αελλας		NULL
183	αελλα	eddying	NULL
184	αελλοπος	storm-footed, storm-swift	NULL
185	αελλω	storm	NULL
186	ᾰελπτια	an unlooked for event	NULL
187	αεργιη	a not working, idleness	NULL
188	αεροβατης	one who walks the air	NULL
189	αεροκοραξ	an air-raven	NULL
190	αεροκωνωψ	an air-gnat	NULL
191	αερομᾰχια	an air-battle	NULL
192	αερσιποτης	high-soaring	NULL
193	αερσιπος	lifting the feet, brisk-trotting	NULL
194	αεσιφροσυνη	silliness, folly	NULL
195	ᾱετος	an eagle	NULL
196	αετοφορος	a standard-bearer	NULL
197	αζη	drought	NULL
198	αζηλια	freedom from jealousy	NULL
199	αζυξ	unyoked, unpaired, unmarried	NULL
200	αηδια	unpleasantness, nauseousness	NULL
201	αηδονιδευς	a young nightingale	NULL
202	αδονις	a nightingale	NULL
203	αηδω	the songstress	NULL
204	αηθια	unaccustomedness	NULL
205	αηθια		NULL
206	αημα	a blast, gale	NULL
207	ᾱηρ	the lower air, the air	NULL
208	αησις	a blowing	NULL
209	αητη		NULL
210	αηθ	a blast, gale	NULL
211	αθᾰνᾰσια	immortality	NULL
212	αθαρη	groats	NULL
213	ᾰθεμις	lawless	NULL
214	αθεοτης	ungodliness	NULL
215	αθεραπευσια	neglect of	NULL
216	αθηναιον	the temple of Athena	NULL
217	αθηνα	the city of Athens	NULL
218	αθηνα	Athena	NULL
219	αθηρηλοιγος	consumer of ears of corn	NULL
220	αθηρ	an ear of corn	NULL
221	αθλημα	a contest	NULL
222	αθλησις	a contest, struggle	NULL
223	αθλητης	a prizefighter	NULL
224	αθλιοτης	suffering, wretchedness	NULL
225	αθλοθετης	one who awards the prize, the judge	NULL
226	αθλον	the prize of contest	NULL
227	αθλος	a contest for a prize	NULL
228	αθλοσυνη		NULL
229	αθροισις	a gathering, mustering	NULL
230	αθροισμ	a gathering	NULL
231	αθῡμια	want of heart, faintheartedness	NULL
232	ᾰθυρμα	a plaything, toy: a delight, joy	NULL
233	αθῠροστομια		NULL
234	αθως	mount Athos	NULL
235	αιαγμα	a wail	NULL
236	αιακιδα	son of Aeacus	NULL
237	αι		NULL
238	αιᾱς	Ajax	NULL
239	αιγαγρος	the wild goat	NULL
240	αιγαιων	Aegaeon	NULL
241	αιγᾰνεη	a hunting-spear, javelin	NULL
242	αιγειρος	the poplar	NULL
243	αιγελατης	a goatherd	NULL
244	αιγιαλιτης	one who haunts the shore	NULL
245	αιγιᾰλος	the sea-shore, beach, strand	NULL
246	αιγιβοσις	a goat-pasture	NULL
247	αιγιβοτης	feeding goats	NULL
248	αιγιθᾱλος	the titmouse	NULL
249	αιγικορης	goatherds	NULL
250	αιγιλιψ	destitute even of goats	NULL
251	αιγῐλος	a herb of which goats are fond	NULL
252	αιγιναιη	Aegina	NULL
253	αιγιν	Aegina	NULL
254	αιγινητα	an Aeginetan	NULL
255	αιγῐνομευς	a goatherd	NULL
256	αιγιπους	goat-footed	NULL
257	αιγιπυρον	a plant	NULL
258	αιγις	the aegis	NULL
259	αιγλη	the light of the sun, radiance	NULL
260	αιγοκερως	goat-horned	NULL
261	αιγονυξ		NULL
262	αιγοποδης		NULL
263	αιγῠπιος	a vulture	NULL
264	αιγυπτος	the river Nile	NULL
265	αιγωνυξ	goat-hoofed	NULL
266	αιδεσις	respect	NULL
267	αιδοιον	the genitals, pudenda	NULL
268	αιδριη	want of knowledge, ignorance	NULL
269	αιδρις	unknowing, ignorant	NULL
270	αιδως	a sense of shame, shame, modesty, self-respect	NULL
271	αιζηιος	strong, lusty, vigorous	NULL
272	αιθαλη	soot	NULL
273	αιθαλιων	swarthy, dusky	NULL
274	αιθᾰλος	soot	NULL
275	αιθηρ	ether, the brighter purer air, the sky	NULL
276	αιθιοπιη	Ethiopia	NULL
277	αιθῐοψ	burnt-face	NULL
278	αιθος	a burning heat, fire	NULL
279	αιθουσα	the corridor	NULL
280	αιθοψ	fiery-looking	NULL
281	αιθρηγενετης	born in ether, sprung from ether	NULL
282	αιθρη	clear sky, fair weather	NULL
283	αιθριη	in clear weather	NULL
284	αιθρος	the clear chill air	NULL
285	αιθυια	a gull	NULL
286	αιθυκτηρ	one that darts swiftly	NULL
287	αιθων	fiery, burning, blazing	NULL
288	αικη	rapid flight, rush, impetus	NULL
289	αικια	injurious treatment, an affront, outrage	NULL
290	αικισμ	an outrage, torture	NULL
291	αικισμος		NULL
292	αιλουρος	a cat	NULL
293	αιμ	blood	NULL
294	αιμᾰσια	a wall	NULL
295	αιμας	a gush	NULL
296	αιμᾰτεκχυσια	shedding of blood	NULL
297	αιμᾰτοπωτης	a blood-drinker	NULL
298	αιματοχαρμης	delighting in blood	NULL
299	αιμᾰτωψ		NULL
300	αιμορροια	a discharge of blood	NULL
301	αιμυλια	winning, wily ways	NULL
302	αιμῠλομητης	of winning wiles	NULL
303	αιμων	skilful in	NULL
304	αιναρετα	terribly brave	NULL
305	αινεσις	praise	NULL
306	αινη	praise, fame	NULL
307	αινιγμ	a dark saying, riddle	NULL
308	αινιγμος	a riddle	NULL
309	αινοβιης	awefully strong	NULL
310	αινολεων	a dreadful lion	NULL
311	αινολῠκος	a horrible wolf	NULL
312	αινοπᾰρις	unlucky Paris	NULL
313	αινοπατηρ	unhappy father	NULL
314	αινος	a tale, story	NULL
315	αινοτοκεια	unhappy in being a mother	NULL
316	αινοτυραννος	a dreadful tyrant	NULL
317	αιξ	a goat	NULL
318	αιολις	an Aeolian	NULL
319	αιολοβροντα	wielder of lightning	NULL
320	αιολοθωρηξ	with glancing breastplate	NULL
321	αιολομητις	full of various wiles	NULL
322	αιολομιτρης	with glancing	NULL
323	αιπολιον	a herd of goats	NULL
324	αιπολος	a goatherd	NULL
325	αιπος	a height, a steep	NULL
326	αιπυμητα	with high thoughts	NULL
327	αιρεσις	a taking especially	NULL
328	αῑρος	unhappy Irus	NULL
329	αις	the goddess of destiny	NULL
330	αισθημα	perception of	NULL
331	αισθησις	perception by the senses	NULL
332	αισθητηριον	an organ of sense	NULL
333	αισιμια	happiness	NULL
334	αιστωρ	unknowing, unconscious	NULL
335	αισυμνητεια	an elective monarchy	NULL
336	αισυμνητηρ	a prince	NULL
337	αισυμνητης	a regulator	NULL
338	αισχος	shame, disgrace	NULL
339	αισχροκερδια	base covetousness	NULL
340	αισχρολογια	foul language, abuse	NULL
341	αισχρομητις	forming base designs	NULL
342	αισχροτης	ugliness, deformity	NULL
343	αισχρουργια	shameless conduct	NULL
344	αισχῡνη	shame done one, disgrace, dishonour	NULL
345	αισχυντηρ	a dishonourer	NULL
346	κατ	a beloved youth, favourite	NULL
347	αιτημα	a request, demand	NULL
348	αιτησις	a request, demand	NULL
349	αιτιᾱμα	a charge, guilt imputed	NULL
350	αιτιη	a charge, accusation	NULL
351	αιχμᾰλωσια	captivity: a body of captives	NULL
352	αιχμᾰλωτις		NULL
353	αιχμη	the point of a spear	NULL
354	αιχμητα	a spearman	NULL
355	αιων	aevum	NULL
356	αιωρα	a machine for suspending	NULL
357	αιωρημα	that which is hung up: a hanging cord, a halter	NULL
358	ακαδημια	the Academy	NULL
359	ακᾰθαρσια	uncleanness, impurity	NULL
360	ακαινα	a thorn, goad	NULL
361	ακαιρια	unfitness of times: unseasonableness	NULL
362	ακακης		NULL
363	ακακητᾰ	guileless, gracious	NULL
364	ακᾰκια	guilelessness	NULL
365	ακᾰλανθις		NULL
366	ακᾰλαρρειτης	soft-flowing	NULL
367	ακᾰληφη	a nettle	NULL
368	ᾰκᾰμαντολογχας	unwearied at the spear	NULL
369	ᾰκᾰμαντομᾰχας	unwearied in fight	NULL
370	ᾰκᾰμαντοπους	untiring of foot, unwearied	NULL
371	ακανθα	a thorn, prickle	NULL
372	ακανθις	the goldfinch	NULL
373	ακανθοβατης	walking among thorns	NULL
374	ακανθος		NULL
375	ακαρπια	unfruitfulness, barrenness	NULL
376	ακατιον	a light boat	NULL
377	ᾰκᾰτος	a light vessel	NULL
378	ᾰκερδεια	want of gain, loss	NULL
379	ακερματια	want of money	NULL
380	ακερσεκομα	with unshorn hair	NULL
381	ακεσις	a healing, cure	NULL
382	ᾰκεσμα	a remedy, cure	NULL
383	ακεστηρ	a healer	NULL
384	ακεστης	menders	NULL
385	ακεστορια	the healing art	NULL
386	ακεστρα	a darning-needle	NULL
387	ακεστρια	a sempstress	NULL
388	ακεστωρ	a healer, saviour	NULL
389	ακημα	a cure, relief	NULL
390	ακη	a point	NULL
391	ακῑκυς	powerless, feeble	NULL
392	ακινακης	a short straight sword	NULL
393	ακῐς	a point, the barb	NULL
394	ακκω	a bugbear	NULL
395	ακλεες	without fame, inglorious, unsung	NULL
396	ακλεια	ingloriousness	NULL
397	ακμη	a point, edge	NULL
398	ακμης	untiring, unwearied	NULL
399	ακμοθετον	the anvil-block, smithy	NULL
400	ακμονιον		NULL
401	ακμων	a thunderbolt	NULL
402	ακνηστις	the spine	NULL
403	ᾰκοα	a hearing, the sound heard	NULL
404	ᾰκοιτας	a bedfellow, spouse, husband.	NULL
405	ᾰκοιτις	a spouse, wife	NULL
406	ακολᾰσια	licentiousness, intemperance	NULL
407	ακολᾰστημα	an act of	NULL
408	ακολος	a bit, morsel	NULL
409	ακολουθια	a following, train	NULL
410	ακομιστιη	want of tending	NULL
411	ᾰκονα	a whetstone, hone	NULL
412	ακονῑτον	aconite	NULL
413	ακοντιον		NULL
414	ακοντῐσις	javelin-throwing	NULL
415	ακοντισμα	a javelin's throw	NULL
416	ακοντισμος		NULL
417	ακοντιστης	a darter, javelin-man	NULL
418	ακοντιστυς	the game of throwing the javelin	NULL
419	ακοσμια	disorder	NULL
420	ᾰκος	a cure, relief, remedy for	NULL
421	ακοστη	barley	NULL
422	ακουη		NULL
423	ακουσμ	a thing heard	NULL
424	ακρη	a headland, foreland, cape	NULL
425	ακρᾱσια	bad mixture, ill temperature	NULL
426	ακρᾱτια	incontinence, want of self-control	NULL
427	ακρᾱτισμα	a breakfast	NULL
428	ακρητοποσιη	a drinking of sheer wine	NULL
429	ακρητοποτης	a drinker of sheer wine	NULL
430	ακρατωρ		NULL
431	ακροχολια	passionateness, burst of passion	NULL
432	ακρεμων	a branch, twig, spray	NULL
433	ακρηβης	a youth in his prime	NULL
434	ακρῑβεια	exactness, minute accuracy, precision	NULL
435	ακριδοθηκη	a locust-cage	NULL
436	ακρῐσια	want of distinctness	NULL
437	ακρις	a locust	NULL
438	ακρις	a hill-top	NULL
439	ακροᾱμα	anything heard with pleasure	NULL
440	ακροᾱσις	a hearing	NULL
441	ακροᾱτηριον	a place of audience	NULL
442	ακροᾱτης	a hearer	NULL
443	ακροβολια	a slinging, skirmishing	NULL
444	ακροβολισις	a skirmishing	NULL
445	ακροβολος	a slinger, skirmisher	NULL
446	ακροβυστια	the foreskin	NULL
447	ακροδρυα	fruit-trees	NULL
448	ακροθινιον	the topmost part of a heap, the choice part, first-fruits	NULL
449	ακροκορινθος	the citadel of Corinth	NULL
450	ακρολοφιτης	a mountaineer	NULL
451	ᾰκρον	the highest	NULL
452	ακροπολις	the upper city	NULL
453	ακροπρωρον	the end of a ship's prow	NULL
454	ακροπτερον	the tip of the wing	NULL
455	ακροστολιον	the gunwale	NULL
456	ακροτελευτιον	the fag-end	NULL
457	ακροφυσιον	the snout	NULL
458	ακροχορδων	a wart with a thin neck	NULL
459	ακρωμια	the point of the shoulder	NULL
460	ακρωνια	mutilation	NULL
461	ακρωνῠχια	the tip of the nail	NULL
462	ακρωρεια	a mountain-ridge	NULL
463	ακρωτηριον	any prominent part	NULL
464	ακτη	the elder-tree	NULL
465	ακτη	a headland, foreland, promontory, shore	NULL
466	ακτῑς	a ray, beam	NULL
467	ακτιτης	a dweller on the coast	NULL
468	ακτωρ	a leader	NULL
469	ακῠλος	an acorn	NULL
470	ακωκη	a point	NULL
471	ᾰκων	a javelin, dart	NULL
472	αλαβαρχια	the office of	NULL
473	αλᾰβαστοθηκη	a case for alabaster ornaments	NULL
474	αλαβαστος	a box	NULL
475	αλαβαστρον	a box	NULL
476	αλαδρομος	the bounding race	NULL
477	αλαζονια	false pretension, imposture, quackery	NULL
478	αλαζονευμα	an imposture, piece of quackery	NULL
479	αλαζων	a vagabond	NULL
480	αλᾰλᾰγη	a shouting	NULL
481	αλᾰλαγμα	a shouting	NULL
482	ᾰλᾰλα	a loud cry	NULL
483	αλᾰλητος	the shout of victory	NULL
484	αλαλκομενηις	the Protectress	NULL
485	αλαλκομενιος		NULL
486	αλᾰοσκοπια	a blind	NULL
487	αλας	salt	NULL
488	αλαστωρ	the avenging deity, destroying angel	NULL
489	αλατιον	salt	NULL
490	αλαωτυς	a blinding	NULL
491	αλγηδων	a sense of pain, pain, suffering	NULL
492	αλγημ	pain, suffering	NULL
493	αλγησις	sense of pain	NULL
494	αλγος	pain	NULL
495	ωλη	an escape	NULL
496	αλειατα	wheaten flour	NULL
497	αλειμμα	anything used for anointing, unguent, fat, oil	NULL
498	αλειπτα	an anointer, a teacher of gymnastics	NULL
499	αλεισον	a cup, goblet	NULL
500	αλειτης	one who flees from punishment, a culprit, a sinner	NULL
501	αλειφα	anointing-oil, unguent, oil	NULL
502	αλειψις	an anointing	NULL
503	αλεκτορισκος	a cockerel	NULL
504	αλεκτοροφωνια	cock-crow	NULL
505	αλεκτρυαινα	a hen	NULL
506	αλεκτρυων	a cock	NULL
507	ᾰλεκτωρ	a cock	NULL
508	αλεξανδριστης	a partisan of Alexander	NULL
509	αλεξημ	a defence, remedy	NULL
510	αλεξησις	a keeping off, defence	NULL
511	αλεξητειρα		NULL
512	αλεξητηρ	one who keeps off	NULL
513	αλεξητωρ		NULL
514	αλεξιαρη	she that keeps off a curse	NULL
515	αλεξιφαρμακον	an antidote, remedy	NULL
516	αλετης	a grinder	NULL
517	αλητος	a grinding	NULL
518	αλετριβᾰνος	that which grinds	NULL
519	αλετρις	a female slave who grinds corn	NULL
520	αλευρον	wheaten flour	NULL
521	αλεωρη	avoidance, escape	NULL
522	αληθει	truth	NULL
523	αληθομαντις	prophet of truth	NULL
524	αληθοσυνη		NULL
525	αλημα	fine meal	NULL
526	αλημων	a wanderer, rover	NULL
527	ωλη	ceaseless wandering	NULL
528	αλητεια	a wandering, roaming	NULL
529	αλητα	a wanderer, stroller, rover, vagabond	NULL
530	αλιαδα	a seaman	NULL
531	αλιαετος	the sea-eagle, osprey	NULL
532	αλιη	an assembly of the people	NULL
533	αλιβας	a dead body, corpse	NULL
534	αλιεια	fishing	NULL
535	αλιευς	one who has to do with the sea	NULL
536	αλικαρνασσευς	a Halicarnassian	NULL
537	αλικαρνασσος		NULL
538	αλῐμενοτης	want of harbours	NULL
539	αλινδηθρα	a sandy place for horses to roll in	NULL
540	αλῐνηκτειρα	swimming in the sea	NULL
541	αλιπεδον	a plain by the sea	NULL
542	αλιπλᾰνια	a wandering voyage	NULL
543	αλιπληξ	sea-beaten	NULL
544	αλισγημα	a pollution	NULL
545	αλιτημα	a sin, offence	NULL
546	αλιτοφροσυνη	a wicked mind	NULL
547	αλῐτρια	sinfulness, mischief	NULL
548	αλιτῡρος	a sort of salt-cheese	NULL
549	αλιφθορια	a disaster at sea, shipwreck	NULL
550	αλκη	strength	NULL
551	αλκτηρ	a protector from	NULL
552	αλκῠονιδες	the 14 winter days during which the halcyon builds its nest, and the sea is calm, the halcyon days	NULL
553	αλκυων	the kingfisher	NULL
554	αλλαγη	a change	NULL
555	αλλαγμα	that which is given	NULL
556	αλλαντοπωλα	a sausage-dealer	NULL
557	αλλας	a sausage	NULL
558	αλληγορια	an allegory	NULL
559	αληκτω	unceasing, ceaseless	NULL
560	αλληλοφᾰγια	an eating one another	NULL
561	αλληλοφονια	mutual slaughter	NULL
562	αλλοιωσις	a change, alteration	NULL
563	αλλοπροσαλλος	leaning first to one side, then to the other	NULL
564	αλλοτριοεπισκοπος	a busy-body in other men's matters	NULL
565	αλλοτριοπραγμοσυνη	a meddling with other people's business	NULL
566	αλλοτριοτης	alienation, estrangement	NULL
567	αλλοτριοχρως	changing colour	NULL
568	αλλοτριωσις	estrangement	NULL
569	αλλοχρως	looking strange	NULL
570	αλμ	a spring, leap, bound	NULL
571	αλμη	sea-water, brine	NULL
572	αλογιη	want of respect	NULL
573	αλογιστια	thoughtlessness, rashness	NULL
574	αλοητος	a threshing	NULL
575	αλοιητηρ	a thresher, grinder	NULL
576	αλοιφη	anything used for anointing, hog's-lard, grease, unguent	NULL
577	αλοξ	a furrow	NULL
578	αλοσυδνη	Sea-born	NULL
579	αλοτριψ	a pestle to pound salt	NULL
580	αλουργις	a purple robe	NULL
581	αλουσια	a being unwashen, want of the bath	NULL
582	ᾰλοχος	a bedfellow, spouse, wife	NULL
583	αλσις	a leaping	NULL
584	αλσος	a glade	NULL
585	αλς	a lump of salt	NULL
586	αλῠκις	a salt spring	NULL
587	αλυκτοπεδαι	galling bonds	NULL
588	αλυξις	an escape	NULL
589	αλῠσις	a chain	NULL
590	αλυς	listlessness, ennui	NULL
591	αλφηστης	working for one's daily bread, laborious, enterprising	NULL
592	αλφῐτᾰμοιβος	a dealer in barley-meal	NULL
593	αλφῐ	peeled	NULL
594	αλφῐτοποιια	a making of barley-meal	NULL
595	αλφος	whiteness: white leprosy	NULL
596	αλωις	goddess of the threshing-floor	NULL
597	αλωη	a threshing-floor	NULL
598	αλωιτης	a thresher, husbandman	NULL
599	αλων		NULL
600	αλωπεκια	branded with a fox	NULL
601	αλωπεκιδευς	a young fox	NULL
602	αλωπεκιον	a little fox	NULL
603	αλωπεκις	a foxskin cap	NULL
604	ᾰλωπηξ	a fox	NULL
605	ᾰλωσις	a taking, capture, conquest, destruction	NULL
606	αλως	a threshing-floor	NULL
607	ᾰμᾰζων	the Amazons	NULL
608	αμαθιη	ignorance	NULL
609	αμᾰθος	sandy soil	NULL
610	αμαλλα	cut corn, a sheaf	NULL
611	αμαλλοδετηρ	a binder of sheaves	NULL
612	αμαμαξῠς	a vine trained on two poles	NULL
613	αμαξα	a wagon, wain	NULL
614	αμαξευς	for a wagon	NULL
615	αμαξις	a little wagon	NULL
616	αμαξιτης	of	NULL
617	αμαξοπηγος	a cartwright	NULL
618	αμαρᾰκον		NULL
619	αμαρη	a trench, conduit, channel	NULL
620	αμαρτημ	a failure, fault, sin	NULL
621	αμαρτια	a failure, fault, sin	NULL
622	αμαρτωλη		NULL
623	αμᾰρυγη	a sparkling, glancing	NULL
624	αμαρυγμα	a sparkle, twinkle	NULL
625	αματροχια	a jostling	NULL
626	αμαυρωμα	obscuration	NULL
627	αμβλυτης	bluntness	NULL
628	αμβλυωπια	dim-sightedness	NULL
629	αμβολας	thrown up	NULL
630	αμβροσιη	ambrosia	NULL
631	αμειψις	exchange, interchange	NULL
632	αμελια	indifference, negligence	NULL
633	αμελετησια	want of practice	NULL
634	αμεμφια	freedom from blame	NULL
635	αμετρια	excess, disproportion	NULL
636	αμετροποτης	drinking to excess	NULL
637	μη	a shovel	NULL
638	αμης	milk-cake	NULL
639	αμητηρ	a reaper	NULL
640	αμητος	a reaping, harvesting	NULL
641	αμητωρ	without mother, motherless	NULL
642	αμηχανιη	want of means, helplessness, impotence	NULL
643	ᾰμιλλα	a contest for superiority, a conflict	NULL
644	αμιλλημα	a conflict	NULL
645	αμιλλητηρ	a competitor in the race	NULL
646	αμιξιη	want of intercourse	NULL
647	αμις	a chamber-pot	NULL
648	αμιτροχιτων	wearing no girdle	NULL
649	αμμα	anything tied	NULL
650	αμορια	what is not one's fate, bad fortune	NULL
651	αμμος	sand	NULL
652	αμμων	Zeus-Ammon	NULL
653	αμνας	a lamb	NULL
654	αμνημοσυνη	forgetfulness	NULL
655	αμνηστια	forgetfulness of wrong: an amnesty	NULL
656	αμνιον	a bowl in which the blood of victims was caught	NULL
657	αμνις	a ewe-lamb	NULL
658	αμνοκων	sheep-minded	NULL
659	αμνος	a lamb	NULL
660	αμοιβας	for a change of raiment	NULL
661	ᾰμοιβα	a requital, recompense, compensation, return, payment	NULL
662	αμοιβος	one who exchanges	NULL
663	αμολγευς	a milk-pail	NULL
664	αμολγιον	a milk-pail	NULL
