	FPP	English	Sentiment
344	ανιαρως	grievous, troublesome, annoying	NULL
345	ανιατως	incurable	NULL
346	ανιδρωτι	without sweat	NULL
347	ανικετευτως	without prayer, not entreating	NULL
348	ανιλεως	unmerciful	NULL
349	ανισως	unequal, uneven	NULL
350	ανιστορητως	ignorant of history	NULL
351	ανοητως	not thought on, unheard of	NULL
352	ανοικτιστως	unpitied, unmourned	NULL
353	ανοικτως	pitiless, ruthless	NULL
354	ανοικτως	opened	NULL
355	ανοιμωκτι	without need to wail, with impunity	NULL
356	ανωιστως	referred	NULL
357	ανομοιως	unlike, dissimilar	NULL
358	ανομως	without law, lawless	NULL
359	ανουστερως	without understanding, foolish, silly	NULL
360	ανοπαια	unseen	NULL
361	ανοσιως	unholy, profane	NULL
362	ανοσως	without sickness, healthy, sound	NULL
363	ανουτητι	without wound	NULL
364	αντ	over against, face to face	NULL
365	αντην	against, over against	NULL
366	αντιβιην	against, face to face	NULL
367	αντῑκρυ	over against, right opposite	NULL
368	αντῐκρῠς	straight on, right on	NULL
369	αντιλογικως	given to contradiction, contradictory, disputatious	NULL
370	αντιμοιρει	by way of compensation	NULL
371	αντιπαλως	wrestling against	NULL
372	αντιπερην	over against, on the other side	NULL
373	αντιπερηθεν	from the opposite side	NULL
374	αντιπροικα	for next to nothing, cheap	NULL
375	αντιρροπως	counterpoising, compensating for	NULL
376	αντιστροφως	turned so as to face one another: correlative, coordinate, counterpart	NULL
377	αντιτως	paid back, requited, avenged	NULL
378	ανυβριστως	not insulted	NULL
379	ανυπερβλητως	not to be surpassed	NULL
380	ανυπονοητως	unsuspected	NULL
381	ανυποπτως	without suspicion, unsuspected	NULL
382	ανυσιμως	efficacious, effectual	NULL
383	ανυτικωτερον	to be accomplished, practicable	NULL
384	ᾱνω	up, upwards	NULL
385	ανωδυνως	free from pain	NULL
386	ανωθ	from above, from on high	NULL
387	ανωιστι	unlooked for	NULL
388	ανωιστως	unlooked for, unexpected	NULL
389	ανωμαλως	uneven, irregular	NULL
390	ανωμοτι	without oath	NULL
391	ανωφελως	unprofitable, useless	NULL
392	αξιαπηγητοτατα	worth telling	NULL
393	αξιοθεατοτατα	well worth seeing	NULL
394	αξιολογως	worthy of mention, noteworthy	NULL
395	αξιοπιστως	trustworthy	NULL
396	αξιοπρεπως	becoming, goodly	NULL
397	αξιως	weighing as much	NULL
398	αξιοτεκμαρτοτερον	worthy of being brought in evidence, credible	NULL
399	αξιοχρεως	worthy of a thing	NULL
400	αοκνως	without hesitation, untiring	NULL
401	αορατως	unseen, not to be seen, invisible	NULL
402	αοργητως	incapable of anger	NULL
403	αοριστως	without boundaries	NULL
404	απαγ	away! begone! hands off!	NULL
405	απαθως	not suffering	NULL
406	απαιδευτως	uneducated	NULL
407	απαλως	soft to the touch, tender	NULL
408	απᾰλοχρως	soft-skinned	NULL
409	απανευθ	afar off, far away	NULL
410	απανθρωπως	far from man	NULL
411	απαντᾰχη	everywhere	NULL
412	απαντᾰχοθεν	from all sides	NULL
413	απαντᾰχοθι	everywhere	NULL
414	απανταχοσε	to every place	NULL
415	απαντᾰχου	everywhere	NULL
416	απαντη	everywhere	NULL
417	απαντικρυ	right opposite	NULL
418	απαντιον	right opposite	NULL
419	απαξαπλως	in general	NULL
420	απαξ	simplex	NULL
421	απαραιτητως	not to be moved by prayer, inexorable	NULL
422	απαρακαλυπτως	uncovered	NULL
423	απαραμυθητως	not to be persuaded, inconsolable	NULL
424	απαρασκευαστοτατα		NULL
425	απαρασκευως	without preparation, unprepared	NULL
426	απαρτι	completely	NULL
427	ᾰπᾰτερθε	apart, aloof	NULL
428	απατητικωτερον	fraudulent	NULL
429	απαυστως	unceasing, never-ending	NULL
430	απειθως	disobedient	NULL
431	απειρηθεν	from Apeire	NULL
432	απειρατως	without making trial of	NULL
433	απειροκαλως	ignorant of the beautiful, without taste, tasteless, vulgar	NULL
434	απειρως	without trial	NULL
435	απειρως	boundless, infinite, countless	NULL
436	απεναντιον	the opposite	NULL
437	απεναντι	opposite, against	NULL
438	απεραντως	boundless, infinite	NULL
439	απερει	just as if, even as	NULL
440	απεριμεριμνως	free from care	NULL
441	απερισκεπτως	inconsiderate, thoughtless	NULL
442	απεχθως	hateful, hostile	NULL
443	απηλεγεως	without caring for anything, reckless of consequences, bluntly	NULL
444	απηνως	ungentle, harsh, rough, hard	NULL
445	απιθανως	not winning belief, incredible, unlikely, improbable	NULL
446	απιστως	not to be trusted	NULL
447	απλαστως	not moulded	NULL
448	απληστως	not to be filled, insatiate	NULL
449	απλοως	simul	NULL
450	απλως	singly, in one way	NULL
451	απνευστι	to hold one's breath	NULL
452	ποθεν	from afar	NULL
453	αποκροτως	beaten	NULL
454	απολαυστικως	devoted to enjoyment	NULL
455	απολεμως	unwarlike, unfit for war	NULL
456	απολυτικως	disposed to acquit	NULL
457	απομουσως	away from the Muses, unaccomplished, rude	NULL
458	απονενοημενως	desperately	NULL
459	απονηθ	without fatigue	NULL
460	απονητοτατα	without toil	NULL
461	απονως	without toil	NULL
462	απονοσφι	far apart	NULL
463	αποπεφασμενως	openly, plainly	NULL
464	αποπροθε	from afar, afar off, far away	NULL
465	αποπροθι	far away	NULL
466	αποπρο	far away, afar off	NULL
467	απορως	without passage	NULL
468	απορρητως	forbidden	NULL
469	αποστᾰδα	standing aloof	NULL
470	αποστατικως	of	NULL
471	αποτηλε	far from	NULL
472	αποτηλου	far away	NULL
473	αποτομως	cut off, abrupt, precipitous	NULL
474	αποχρωντως	enough, sufficiently	NULL
475	απραγμονως	free from business	NULL
476	απρακτως	doing nothing, ineffectual, unprofitable	NULL
477	απρεπως	unseemly, unbecoming, indecent, indecorous	NULL
478	απρῐατην	without purchase-money	NULL
479	απριγδ		NULL
480	απριξ	with closed teeth	NULL
481	απροαιρετως	without set purpose, not deliberate	NULL
482	απροβουλευτως	not planned beforehand, unpremeditated	NULL
483	απροβουλως	without premeditation	NULL
484	απροθυμως	not eager	NULL
485	απρονοητως	unpremeditated	NULL
486	απροσδοκητως	unexpected, unlooked for	NULL
487	απροσοιστως	not to be withstood, irresistible	NULL
488	απροφασιστως	offering no excuse, unhesitating	NULL
489	απταιστως	not stumbling	NULL
490	απυρως	without fire	NULL
491	απωθεν	from afar	NULL
492	απωτατω	furthest from	NULL
493	απωτερω	further off	NULL
494	αρᾱροτως	compactly, closely, strongly	NULL
495	αρητως	accursed, unblest	NULL
496	αργαλεωτερον	painful, troublous, grievous	NULL
497	αργειως	of	NULL
498	αργοθεν	from Argos	NULL
499	αργως	shining, bright, glistening	NULL
500	αργως	not working the ground, living without labour	NULL
501	αργυρικως	of, for	NULL
502	αρδην	lifted up, on high	NULL
503	αρεσκοντως	agreeably	NULL
504	αρεστως	acceptable, pleasing	NULL
505	αριζηλως	conspicuous, very distinct	NULL
506	αριθμητικως	of	NULL
507	αριστεροφιν	left, on the left	NULL
508	αριστοκρατικως	aristocratical	NULL
509	αριστως	best	NULL
510	αριφραδεως	easy to be known, very distinct, manifest	NULL
511	αρκουντως	enough, abundantly	NULL
512	αρμοδιως	fitting together	NULL
513	αρμοι	just, newly, lately	NULL
514	αρπαλεως	greedy	NULL
515	αρρατως	firm, hard, solid	NULL
516	αρρενικως	male	NULL
517	αρρηκτως	unbroken, not to be broken	NULL
518	αρρυθμως	not in rhythm	NULL
519	αρρωστως	weak, sickly	NULL
520	αρτιως	complete, perfect of its kind, suitable, exactly fitted	NULL
521	αρτ	just, exactly	NULL
522	αρχαιως	from the beginning	NULL
523	αρχηθεν	from the beginning, from of old, from olden time	NULL
524	αρχην		NULL
525	αρχικωτατα	of	NULL
526	ασαλευτως	not agitated, tranquil	NULL
527	ασαφως	indistinct	NULL
528	ασεβως	ungodly, godless, unholy, profane	NULL
529	ασελγως	licentious, wanton, brutal	NULL
530	ασημως	without mark	NULL
531	ασθενως	without strength, weak, feeble, weakly	NULL
532	ασινως	unhurt, unharmed	NULL
533	ασκαρδᾰμυκτι	without winking, with unchanged look	NULL
534	ασκελεως	dried up, withered	NULL
535	ασκεπτως	inconsiderate, unreflecting	NULL
536	ασκοπως	inconsiderate, heedless	NULL
537	ασκοπως	aimless, random	NULL
538	ασμενως	well-pleased, glad	NULL
539	ασπασιως	welcome, gladly welcomed	NULL
540	ασπαστως	welcome	NULL
541	ασπερχες	hastily, hotly, vehemently	NULL
542	ασπουδι	without zeal, without a struggle, ignobly	NULL
543	ασσον	nearer, very near	NULL
544	αστακτι	not in drops	NULL
545	αστασιαστως	not disturbed by faction	NULL
546	αστατως	unstable	NULL
547	αστειως	of the town	NULL
548	αστεμφως	unmoved, unshaken	NULL
549	αστεργεστερον	without love, implacable, hateful	NULL
550	αστικως	of a city	NULL
551	αστοχως	missing the mark, aiming badly at	NULL
552	αστυδ	into, to	NULL
553	ασυλλογιστως	not reasoning justly	NULL
554	ασυμβατως	not coming to terms	NULL
555	ασυμπαθως	without sympathy with	NULL
556	ασυμφορως	inconvenient, inexpedient, useless	NULL
557	ασυμφωνως	not agreeing in sound	NULL
558	ασυνδετως	unconnected	NULL
559	ασυνετως	void of understanding, stupid	NULL
560	ασυνηθως	unaccustomed, inexperienced, unacquainted	NULL
561	ασυντακτως	not ranged together	NULL
562	ασυντονωτατα	not strained, slack	NULL
563	ασφαλως	not liable to fall, immoveable, steadfast, firm	NULL
564	ασχετως	not to beheld in	NULL
565	ασχημονως	misshapen, unseemly, shameful	NULL
566	ασχολως	without leisure, engaged, occupied, busy	NULL
567	ασωτως	having no hope of safety, abandoned, profligate	NULL
568	ατακτως	not in battle-order	NULL
569	αταλαιπωρως	without pains	NULL
570	αταραχως	not disturbed, without confusion, steady	NULL
571	ατεκμαρτως	not to be guessed, obscure, baffling	NULL
572	ατελεστως	without end	NULL
573	ατελως	without end	NULL
574	ατενως	strained tight, clinging	NULL
575	ατ	just as, so as	NULL
576	ατερπεστατα	unpleasing, joyless, melancholy	NULL
577	ατεχνως	without art, ignorant of the rules of art, unskilled, empirical	NULL
578	ατεχνως	simply	NULL
579	ατεχνως	without rules of art, empirically	NULL
580	ατημελως	neglected	NULL
581	ατημελητως	unheeded, uncared for	NULL
582	ατηρως	blinded by	NULL
583	ατιμως	unhonoured, dishonoured	NULL
584	ατιμωρητως	unavenged	NULL
585	ατολμως	daring nothing, wanting courage, spiritless, cowardly	NULL
586	ατομως	uncut, unmown	NULL
587	ατονως	not stretched, relaxed	NULL
588	ατοπως	out of place	NULL
589	ατρεκως	real, genuine	NULL
590	ατρεμ	without trembling, without motion	NULL
591	ατρεμ	not trembling, unmoved	NULL
592	ατρεπτως	unmoved, immutable	NULL
593	ατρεστως	not trembling, unfearing, fearless	NULL
594	ατρυτως	not worn away, untiring, unwearied	NULL
595	ατρωτως	unwounded	NULL
596	αττῐκιστι	in the Attic dialect	NULL
597	αττικως	Attic, Athenian	NULL
598	ατυχως	luckless, unfortunate	NULL
599	αυ	again, anew, afresh, once more	NULL
600	αυ	bow wow	NULL
601	αυθαδως	self-willed, wilful, dogged, stubborn, contumacious, presumptuous	NULL
602	αυθεκαστως	one who calls each thing by its name	NULL
603	αυθημερον	made	NULL
604	αυθ	on the spot, here, there	NULL
605	αυτῐς	back, back again	NULL
606	αυως	dry	NULL
607	αυριον	to-morrow	NULL
608	αυστηροτερον	to dry	NULL
609	αυταρκεστατα	sufficient in oneself, having enough, independent	NULL
610	αυτεξουσιως	in one's own power	NULL
611	αυτ	again	NULL
612	αυτημαρ	on the self-same day	NULL
613	αυτιχ	forthwith, straightway, at once	NULL
614	αυτοβοει	by a mere shout, at the first shout	NULL
615	αυτοδαξ	with the very teeth	NULL
616	αυτοδῐον	straightway	NULL
617	αυτοετει	in the same year	NULL
618	αυτοθελει	voluntarily	NULL
619	αυτοθ	from the very spot	NULL
620	αυτοθ	on the spot	NULL
621	αυτοκαβδαλως	wrought	NULL
622	αυτοκτονως	self-slaying	NULL
623	αυτοματως	acting of one's own will, of oneself	NULL
624	αυτονομως	living under one's own laws, independent	NULL
625	αυτονῠχι	that very night	NULL
626	αυτοπαθως	speaking from one's own feeling	NULL
627	αυτος	thither, to the very place	NULL
628	αυτοσχεδιως	hand to hand	NULL
629	αυτοσχεδα	near at hand, hand to hand	NULL
630	αυτοτελως	ending in itself, complete in itself, supporting oneself	NULL
631	αυτω	at the very place, just here, just there	NULL
632	αυτοφι	the very spot	NULL
633	αυτοφονως	self-murdering, murdering those of one's own family	NULL
634	αυτοφυως	self-grown	NULL
635	αυτοχρημ	in very deed, really and truly	NULL
636	αυτως	in this very manner, even so, just so, as it is	NULL
637	αφανως	unseen, invisible, viewless	NULL
638	ᾰφᾰρ	straightway, forthwith, at once, quickly, presently	NULL
639	αφατως	not uttered, nameless	NULL
640	αφαυροτερον	feeble, powerless	NULL
641	αφειδως	unsparing	NULL
642	αφελως	without a stone, even, smooth	NULL
643	απηλικεστερον	beyond youth, elderly	NULL
644	αφθονως	without envy	NULL
645	αφιλως	without friends, friendless	NULL
646	αφιλοτιμως	without due ambition	NULL
647	αφνειως	rich, wealthy	NULL
648	αφνω	unawares, of a sudden	NULL
649	αφοβως	without fear	NULL
650	αφορητως	intolerable, insufferable	NULL
651	αφραδεως	insensate, reckless	NULL
652	αφρασμονως	without sense	NULL
653	αφραστως	unutterable, inexpressible	NULL
654	αφροντιστως	thoughtless, heedless, taking no care	NULL
655	αφρονως	without sense	NULL
656	αφυως	without natural talent, witless, dull	NULL
