	FPP	English	Sentiment
115	ακοσμεω	to be disorderly, to offend	NULL
116	ακοστεω	corn-fed	NULL
117	ᾰκουω	to hear	NULL
118	ακρᾱχολεω	to be passionate	NULL
119	ακριβω	to make exact	NULL
120	ακροβολεω	to sling	NULL
121	ακροκελαινιαω	growing black on the surface	NULL
122	ακρολογεω	to gather at top	NULL
123	ακρολῠτεω	to untie at the ends	NULL
124	ακροτομεω	to lop off, shave the surface	NULL
125	ακροχειριζω	to struggle at arm's length	NULL
126	ακρωτηριαζω	to cut off the extremities, mutilate	NULL
127	ακταινω	to lift up, raise	NULL
128	αλαινω	to wander about	NULL
129	ᾰλᾰλαζω	to raise the war-cry	NULL
130	αλαω	to blind	NULL
131	αλᾰπαζω	to empty, drain, exhaust	NULL
132	αλαστεω	to be full of wrath	NULL
133	αλγω	to feel bodily pain, suffer	NULL
134	αλγυνω	to pain, grieve, distress	NULL
135	αλδαινω	to make to grow	NULL
136	αλδησκω	to grow, wax	NULL
137	αλεαινω	to warm, make warm	NULL
138	αλεγιζω	to trouble oneself about	NULL
139	αλεγυνω	to care for, furnish	NULL
140	ᾰλεγω	to trouble oneself, have a care	NULL
141	αλεεινω	to avoid, shun	NULL
142	αλειφω	to anoint with oil, oil	NULL
143	αλεκω	to ward off	NULL
144	ᾰλεξω	to ward	NULL
145	αλετρευω	to grind	NULL
146	αλευω	to remove, keep away	NULL
147	αλω	to grind, bruise, pound	NULL
148	αληθιζω	to speak truth	NULL
149	αληθω		NULL
150	αλητευω	to wander, roam about	NULL
151	αλιευω	to be a fisher	NULL
152	αλιζω	to gather together, to muster	NULL
153	αλιζω	to salt	NULL
154	αλινδω	to make to roll	NULL
155	αλισγεω	to pollute	NULL
156	αλῐτρεω	to sin	NULL
157	αλλαντοπωλεω	to deal in sausages	NULL
158	αλλαττω	to make other than it is, to change, alter	NULL
159	αλληγορεω	to speak so as to imply something other than what is said, to interpret allegorically	NULL
160	αλλογνοεω	to take one for another, not know	NULL
161	αλλοιοω	to make different, to change, alter	NULL
162	αλλοτριολογεω	to speak of things foreign to the matter	NULL
163	αλλοτριοω	to estrange from	NULL
164	αλλοφρονεω	to think of other things, to give no heed	NULL
165	αλοω	to thresh, thresh out	NULL
166	αλογω	to pay no regard to	NULL
167	αλοκιζω	to trace furrows	NULL
168	αλυκταζω	to be in distress	NULL
169	αλυκτεω		NULL
170	αλυσκαζω	to shun, shirk, avoid	NULL
171	αλυσκω	to flee from, shun, avoid, forsake	NULL
172	αλυσσω	to be uneasy, be in distress	NULL
173	αλῡω	to wander in mind	NULL
174	αλφανω	to bring in, yield, earn	NULL
175	αλφῐτοσῑτεω	to eat barley-bread	NULL
176	αλωπεκιζω	to play the fox	NULL
177	αμᾰθαινω	to be untaught, stupid	NULL
178	αμᾰθυνω	to level with the sand, utterly destroy	NULL
179	αμαλδυνω	to soften	NULL
180	αμαξευω	to traverse with a wagon	NULL
181	ᾰμαρτᾰνω	to miss, miss the mark	NULL
182	αμᾰρυσσω	to sparkle, glance	NULL
183	αματροχαω	to run together	NULL
184	ᾰμαυροω	to make dim, faint	NULL
185	μ	to mow	NULL
186	αμβλωω	to cause to miscarry	NULL
187	αμβλυνω	to blunt, take the edge off	NULL
188	αμβλυωπω	to be dim-sighted	NULL
189	αμβλυωσσω	to be dim-sighted	NULL
190	ᾰμειβω	-eo	NULL
191	ᾰμειρω	to bereave of	NULL
192	αμελγω	to milk	NULL
193	αμελω	to have no care for, be neglectful of	NULL
194	αμενηνοω	to deaden the force	NULL
195	αμεργω	to pluck	NULL
196	ᾰμερδω	to deprive of, bereave of	NULL
197	αμηχαν	to be at a loss for	NULL
198	αμιθρεω		NULL
199	αμνημονω	to be unmindful	NULL
200	αμνηστεω	to be forgotten	NULL
201	αμοιρεω	to have no share in	NULL
202	αμπελουργεω	to dress vines	NULL
203	αμπεχω	to surround, cover	NULL
204	αμπλᾰκισκω	to come short of	NULL
205	αμπῠκαζω	to bind the hair with a band	NULL
206	αμῡνω	to keep off, ward off	NULL
207	αμυττω	to scratch, tear, wound, lacerate, mangle	NULL
208	αμυστιζω	to drink deep	NULL
209	αμφᾰγᾰπαζω	to embrace warmly, treat kindly, greet warmly	NULL
210	αμφᾰρᾰβεω	to rattle	NULL
211	αμφαφαω	to touch	NULL
212	αμφελισσω	to wrap	NULL
213	αμφερεφω	to cover up	NULL
214	αμφιεζω	to clothe	NULL
215	αμφιαχω	to fly shrieking about	NULL
216	αμφιβαινω	to go about	NULL
217	αμφιβαλλω	to throw	NULL
218	αμφιγηθεω	to rejoice around	NULL
219	αμφιγνοω	to be doubtful about	NULL
220	αμφιδακνω	to bite all round	NULL
221	αμφιδιαινω	to moisten all around	NULL
222	αμφιδοκευω	to lie in wait for	NULL
223	αμφιδονεω	to agitate violently	NULL
224	αμφιδοξεω	to be doubtful	NULL
225	αμφιδυω	to put on	NULL
226	αμφιεννυω	to put round	NULL
227	αμφεπω	to go about, be all round, encompass	NULL
228	αμφιζανω	to sit on, settle upon	NULL
229	αμφιθαλλω	to be in full bloom	NULL
230	αμφιθαλπω	to warm on both sides	NULL
231	αμφιθεω	to run round about	NULL
232	αμφικᾰλυπτω	to cover all round, enwrap, enfold	NULL
233	αμφικεαζω	to cleave asunder	NULL
234	αμφικειρω	to shear all round	NULL
235	αμφικομεω	to tend on all sides	NULL
236	αμφικρυπτω	to cover	NULL
237	αμφικῠλινδω	to roll around, to be pierced by	NULL
238	αμφιλαχαινω	to dig round	NULL
239	αμφιλεγω	to dispute about	NULL
240	αμφινεμω	to feed around	NULL
241	αμφινευω	to nod this way and that way	NULL
242	αμφινοω	to think both ways, be in doubt	NULL
243	αμφιξεω	to smooth all round	NULL
244	αμφιπᾰτασσω	to strike on both sides	NULL
245	αμφιπεριστεφω	to be put round as a crown	NULL
246	αμφιπεριστρωφα	to keep turning about all ways	NULL
247	αμφιπεριτρυζω	to chirp	NULL
248	αμφιπεριφθῐνυθω	to decay all round	NULL
249	αμφιπιεζω	to squeeze all round, hug closely	NULL
250	αμφιπιτνω	to fall around	NULL
251	αμφιπολευω	to be busied about, take care of	NULL
252	αμφιπολεω	to attend constantly, to attend on, watch, guard	NULL
253	αμφιπονει	to attend to	NULL
254	αμφισβητω	to stand apart	NULL
255	αμφιστημι	to place round	NULL
256	αμφιτανυω	to stretch all round	NULL
257	αμφιτεμνω	to cut off on all sides, intercept	NULL
258	αμφιτιθημι	to put round	NULL
259	αμφιτῐνασσω	to swing round	NULL
260	αμφιτιττῠβιζω	to twitter	NULL
261	αμφιτρεμω	to tremble round	NULL
262	αμφιτρεχω	to run round, surround	NULL
263	αμφιτρομεω	to tremble for	NULL
264	αμφιφαεινω	to beam around	NULL
265	αμφιφοβεω	to tremble all round	NULL
266	αμφιχαινω	to gape round, gape for	NULL
267	αμφιχεω	to pour around, to pour	NULL
268	αμφιχορευω	to dance around	NULL
269	αμβαινω	to go up, mount, to go up to	NULL
270	αναβακχευω	to rouse to Bacchic frenzy	NULL
271	αμβαλλω	to throw	NULL
272	αναβαπτιζω	to dip repeatedly	NULL
273	αναβασταζω	to raise	NULL
274	αναβῐβαζω	to make go up, cause to mount	NULL
275	αναβῐοω	to come to life again, return to life	NULL
276	αναβλαστανω	to shoot up, grow up again	NULL
277	αναβλεπω	to look up	NULL
278	αναβλυζω	to spout up	NULL
279	αμβλωσκω	to go through	NULL
280	αμβοαω	to shout aloud, utter a loud cry	NULL
281	αναβραττω	to boil well, seethe	NULL
282	αναβρυαζω	to neigh aloud	NULL
283	αναγγελλω	to carry back tidings of, report	NULL
284	αγγελω	to laugh loud	NULL
285	αναγενναω	to beget anew, regenerate	NULL
286	αναγευω	to give	NULL
287	αναγῑνωσκω	to know well, know certainly	NULL
288	αναγκαζω	to force, compel	NULL
289	αναγναμπτω	to bend back	NULL
290	ανᾰγορευω	to proclaim publicly	NULL
291	αγγραφω	to engrave and set up	NULL
292	αναγρυζω	to keep muttering	NULL
293	αναγυμνοω	to strip naked, unveil	NULL
294	ανᾰγω	to lead up	NULL
295	ανδαιω	to light up	NULL
296	νδεικνυμι	to lift up and shew	NULL
297	ανδερω	to strip the skin off	NULL
298	αναδευω	to moisten	NULL
299	ανδεω	to bind	NULL
300	αναδῐδασκω	to teach otherwise	NULL
301	ανδιδωμι	to hold up and give	NULL
302	αναδιπλοω	to be made double	NULL
303	αναδυνω	to come to the top of water	NULL
304	ανᾰειρω	to lift up	NULL
305	αναζω	to return to life, be alive again	NULL
306	αναζευγνυω	to yoke again	NULL
307	αναζω	to boil up	NULL
308	αναζητω	to examine into, investigate	NULL
309	αναζωγρεω	to recall to life	NULL
310	αναζωννῡμι	to gird up	NULL
311	αναζωπῠρεω	to rekindle	NULL
312	αναθαλλω	to shoot up again	NULL
313	αναθαρσεω	to regain courage	NULL
314	αναθαρσυνω	to fill with fresh courage	NULL
315	αναθεμᾰτιζω	to devote	NULL
316	αναθερμαινω	to warm up, heat again	NULL
317	αναθηλεω	to sprout afresh	NULL
318	αναθλιβω	to press hard	NULL
319	αναθορῠβεω	to cry out loudly, shout in applause	NULL
320	αναθρω	to look up at, observe closely	NULL
321	αναθυμιαω	to make to rise in vapour	NULL
322	αναιθυσσω	to stir up, rouse	NULL
323	αναιθω	to light up, set on fire	NULL
324	αναιρω	to take up, raise	NULL
325	αναιρω	to lift up	NULL
326	αναισθητεω	to want perception	NULL
327	αναισιμοω	to use up, use, consume	NULL
328	αναισχυντεω	to be shameless, behave impudently	NULL
329	ανακαγχαζω	to burst out laughing	NULL
330	ανακαθαιρω	to clear completely:—	NULL
331	ανακᾰθιζω	to set up	NULL
332	ανακαινοω	to renew, restore:—	NULL
333	ανακαιω	to light up	NULL
334	ανακαλω	to call up the dead	NULL
335	ανακᾰλυπτω	to uncover	NULL
336	ανακαμπτω	to bend back	NULL
337	ανακαπτω	to gulp down	NULL
338	ανακεραννῡμι	to mix up	NULL
339	ανακεφαλαιοω	to sum up the argument:—	NULL
340	ανακηκιω	to spout up, gush forth	NULL
341	ανακηρυσσω	to proclaim by voice of herald, publish abroad	NULL
342	ανακινδῡνευω	to run into danger again, to run a fresh risk	NULL
343	ανακῑνεω	to sway	NULL
344	συνανακιρνημι	to mix well	NULL
345	ανακλαζω	to cry aloud, scream out	NULL
346	ανακλα	to bend back	NULL
347	αγκλινω	to lean	NULL
348	ανακλωθω	to undo the	NULL
349	ανακογχῠλιαζω	to open and counterfeit a seal	NULL
350	αγκοινα	to communicate	NULL
351	ανακοιρᾰνεω	to rule	NULL
352	αγκομιζω	to carry up	NULL
353	ανᾰκοντιζω	to dart	NULL
354	ανακοπτω	to drive back	NULL
355	ανακουφιζω	to lift up	NULL
356	ανακραζω	to cry out, lift up the voice	NULL
357	ανακρεμαννῡμι	to hang up on	NULL
358	ανακρινω	to examine closely, to question, interrogate	NULL
359	ανακροτεω	to lift up and strike together	NULL
360	ανακρουω	to push back, stop short, check	NULL
361	ανακῠκαω	to stir up and mix, mix up	NULL
362	ανακυκλεω	to turn round again	NULL
363	ανακυκλοω	to revolve	NULL
364	ανακυμβᾰλιαζω	to fall rattling over	NULL
365	ανακυπτω	to lift up the head	NULL
366	ανακωκυω	to wail aloud	NULL
367	ανᾰλᾰλαζω	to raise a war-cry, cry aloud	NULL
368	αναλαμβανω	to take up, take into one's hands	NULL
369	αναλαμπω	to flame up, take fire	NULL
370	αναλεγω	to pick up, gather up	NULL
371	αναλειχω	to lick up	NULL
372	ανᾱλοω	to use up, to spend, lavish	NULL
373	αλλυω	to unloose, undo	NULL
374	αναμαιμαω	to rage through	NULL
375	αναμανθανω	to inquire closely	NULL
376	αναμασσω	to wipe off	NULL
377	αναμελπω	to begin to sing	NULL
378	αμμενω	to wait for, await	NULL
379	αναμεστοω	to fill up, fill full	NULL
380	αναμετρεω	to re-measure the road	NULL
381	αναμιμνησκω	to remind	NULL
382	αναμισθαρνεω	to serve again for pay	NULL
383	αναμορμυρω	to roar loudly, boil up	NULL
384	αναμοχλευω	to raise by a lever, to force open	NULL
385	ανανεαζω	to renew one's youth	NULL
386	αννεμω	to divide anew	NULL
387	ανανεω	to renew	NULL
388	ανανευω	to throw the head back	NULL
389	ανανηφω	to return to sobriety of mind	NULL
390	αναξαινω	to tear open	NULL
391	αγξηραινω	to dry up	NULL
392	αναξυω	to scrape up	NULL
393	αναπαιδευω	to educate afresh	NULL
394	αναπαιω	to strike back	NULL
395	αμπαλλω	to swing to and fro	NULL
396	αναπασσω	to sprinkle upon	NULL
397	αμπαυω	to make to cease, to stop	NULL
398	αναπειθω	to bring over, convince	NULL
399	αμπειρω	to try	NULL
400	αμπειρω	to pierce through, fix on a spit	NULL
401	αναπεμπαζω	to count again, count over	NULL
402	αμπεμπω	to send up	NULL
403	αναπεταω	to spread out, unfold, unfurl	NULL
404	αναπηγνῡμι	to transfix, impale	NULL
405	αναπηδαω	to leap up, start up	NULL
406	αναπῑδυω	to send forth water	NULL
407	αναπιμπλημι	to fill up	NULL
408	αναπιπτω	to fall back	NULL
409	αναπλασσω	to form anew, remodel	NULL
410	αναπλεκω	to enwreath	NULL
411	αναπλωω	to sail up, to go up stream	NULL
412	αναπληροω	to fill up	NULL
413	αναπλωω	to unfold, open	NULL
414	αμπνυω	to breathe again, take breath	NULL
415	αναποδιζω	to make to step back, call back, cross-examine	NULL
416	αμπολεω	to turn up	NULL
417	αναπολιζω		NULL
418	αναπρασσω	to exact, levy	NULL
419	αναπρηθω	to blow forth, to let burst forth	NULL
420	αναπτεροω	to raise its feathers	NULL
421	αναπτοεω	to scare exceedingly	NULL
422	αναπτυσσω	to unfold	NULL
423	αναπτυω	to spit up, sputter	NULL
424	αναπτω	to make fast on	NULL
425	αναρμοστεω	not to fit	NULL
426	αναρπαζω	to snatch up	NULL
427	αναρρασσω	to break up	NULL
428	αναρριπτω	to throw up	NULL
429	αναρρυβδεω	to suck down again	NULL
430	αναρρωννῡμι	to strengthen afresh	NULL
431	αναρταω	to hang to	NULL
432	ανασᾰλευω	to shake up, stir up	NULL
433	ανασειραζω	to draw back with a rein, to hold in check	NULL
434	ανασειω	to shake back, swing to and fro, move up and down	NULL
435	ανασευω	sprang forth, spouted up	NULL
436	ανασκαπτω	to dig up, to dig up ground	NULL
437	ανασκεδαννῡμι	to scatter abroad	NULL
438	ανασκευαζω	to pack up the baggage	NULL
439	ανασκολοπιζω	to fix on a pole	NULL
440	ανασκοπεω	to look at narrowly, examine well	NULL
441	ανασοβεω	to scare and make to start up, to rouse	NULL
442	ανασπᾰρασσω	to tear up	NULL
443	ανσπαω	to draw up, pull up	NULL
444	ᾰνασσω	to be lord, master, owner, to rule, in	NULL
445	αναστᾰτοω	to unsettle, upset	NULL
446	ανασταυροω	to impale	NULL
447	αναστειβω		NULL
448	αναστελλω	to raise up	NULL
449	αναστεναζω	didst thou groan forth	NULL
450	αναστοναχιζω	to groan aloud	NULL
451	αναστεναχω	to groan aloud over, bemoan	NULL
452	αναστενω	to groan aloud	NULL
453	αναστεφω	to crown, wreath	NULL
454	αναστηριζω	to set up firmly	NULL
455	αναστομοω	to furnish with a mouth	NULL
456	ανστρεφω	to turn upside down, upset	NULL
457	ανασυρω	to pull up one's clothes	NULL
458	ανασφαλλω	to rise from a fall	NULL
459	ανασχιζω	to rip up	NULL
460	ανατᾰρασσω	to disturb greatly, rouse to frenzy, confound	NULL
461	αντεινω	to stretch up, hold up	NULL
462	ανατειχιζω	to rebuild	NULL
463	ανατελλω	to make to rise up	NULL
464	ανατεμνω	to cut open	NULL
465	ανατῐθημι	to lay upon	NULL
466	ανατῑμαω	to raise in price	NULL
467	ανατῐνασσω	to shake up and down, brandish	NULL
468	ανατολμαω	to regain courage	NULL
469	αντρεπω	to turn up	NULL
470	ανατρεφω	to feed up, nurse up, educate	NULL
471	ανατρεχω	to run back	NULL
472	ανατριβω	to rub well, rub clean	NULL
473	ανατῠλισσω	to unroll	NULL
474	ανατυποω	to impress again	NULL
475	ανατυρβαζω	to stir up, confound	NULL
476	αναυω	to cry aloud	NULL
477	αμφαινω	to make to give light, make to blaze up	NULL
478	αμφερω	to bring	NULL
479	αναφευγω	to flee up	NULL
480	αναφλεγμαινω	to inflame and swell up	NULL
481	αναφλεγω	to light up, rekindle	NULL
482	αναφλυω	to bubble	NULL
483	αναφοβεω	to frighten away	NULL
484	αναφορεω		NULL
485	αναφρονεω	to come back to one's senses	NULL
486	αναφροντιζω	to meditate how	NULL
487	αναφυσα	to blow up	NULL
488	αναφῡσιαω	to blow upwards	NULL
489	αναφωνεω	to call aloud, declaim	NULL
490	αγχαζω	to make to recoil, force back	NULL
491	αναχαιτιζω	to throw back the mane, rear up	NULL
492	αναχαινω	to open the mouth, gape wide	NULL
493	αναχεω	to pour forth	NULL
494	αναχορευω	to begin a choral dance	NULL
495	αναχωνευω	to fuse again	NULL
496	αγχω	to heap up into a mound	NULL
497	αναχωρω	to go back	NULL
498	αναχωριζω	to make to go back	NULL
499	αναψαω	to wipe up:—	NULL
500	αναψηφιζω	to put to the vote again	NULL
501	αναψυχω	to cool, to revive by fresh air, to refresh	NULL
502	ανδανω	to please, delight, gratify	NULL
503	ανδραγαθεω	brave deeds	NULL
504	ανδραποδιζω	to reduce to slavery, enslave	NULL
505	ανδρηλᾰτεω	to banish from house and home	NULL
506	ανδριαντοποιεω	to make statues	NULL
507	ανδριζω	to make a man of	NULL
508	ανδροκτονεω	to slay men	NULL
509	ανδροφᾰγεω	to eat men	NULL
510	ανδρω	to rear up into manhood	NULL
511	ανεγειρω	to wake up, rouse	NULL
512	ανιλλω	to roll up together:—	NULL
513	ανειμι	ibo	NULL
514	ανειργω	to keep back, restrain	NULL
515	ανειρω	to fasten on	NULL
516	ανεκπιμπλημι	to fill up	NULL
517	ανελεγχω	to convince	NULL
518	ανελιττω	to unroll	NULL
519	ανελκω	to draw up	NULL
520	ανεμοω	to expose to the wind:—	NULL
521	ανερεθιζω	to stir up, excite	NULL
522	ανερευναω	to examine closely, investigate	NULL
523	ανερπω	to creep up	NULL
524	ανερρω	to go quite away	NULL
525	ανερυθριαω	to begin to blush, blush up	NULL
526	ανερυω	to draw up, haul up	NULL
527	ανερωτω	to ask	NULL
528	ανεταζω	to examine closely	NULL
529	ανευρισκω	to find out, make out, discover	NULL
530	ανευφημεω	to shout	NULL
531	ανεχω	to hold up	NULL
532	ανηβαω	to grow young again	NULL
533	ανηκουστεω	to be unwilling to hear, to disobey	NULL
534	ανηκω	to have come up to	NULL
535	ανηπυω	to cry aloud, roar	NULL
536	ανταιρω	to choose	NULL
537	αντελκω	to draw	NULL
538	ανθεστιαω	to entertain in return	NULL
539	ανθεω	to blossom, bloom	NULL
540	ανθιζω	to strew	NULL
541	ανθιππευω	to ride against	NULL
542	ανθιστημι	to set against	NULL
543	ανθοβολεω	to bestrew with flowers	NULL
544	ανθοκομεω	to produce flowers	NULL
545	ανθοκρᾰτεω	to govern flowers	NULL
546	ανθοπλιζω	to arm against	NULL
547	ανθορμεω	to lie at anchor opposite to	NULL
548	ανθοφορεω	to bear flowers	NULL
549	ανθρᾰκιζω	to make charcoal of, to roast	NULL
550	ανθρακοω	to be burnt to cinders	NULL
551	ανθρωπιζω	to be	NULL
552	ανθρωποσφᾰγεω	to slay men	NULL
553	ανθρωποφᾰγεω	to eat men	NULL
554	ανθυβριζω	to abuse one another, abuse in turn	NULL
555	ανθυπαγω	to bring to trial in turn	NULL
556	ανθῠπᾰτευω	to be proconsul	NULL
557	ανθυπεικω	to yield in turn	NULL
558	ανθυπηρετεω	to serve in turn	NULL
559	ανθυπομνῡμι	to make a counter-affidavit	NULL
560	ανθυποπτευω	to suspect mutually	NULL
561	ανθυπουργεω	to return a kindness	NULL
562	ανθυφιστημι	to undertake to serve	NULL
563	ανῐαζω	to grieve, distress	NULL
564	ανῐαχω	to cry aloud	NULL
565	ανι	to grieve, distress	NULL
566	αναιρω	to dedicate, devote	NULL
567	ανιημι	to send up	NULL
568	ανῐμαω	to draw up	NULL
569	ανῐσοω	to make equal, equalise	NULL
570	ανιστημι	to make to stand up, raise up	NULL
571	ανιστορω	to make inquiry into, ask about	NULL
572	ανιχνευω	to trace back	NULL
573	αννιβιζω	to side with Hannibal	NULL
574	ανοδηγεω	to guide back	NULL
575	ανοιγω	to open	NULL
576	ανοιδεω	to swell up	NULL
577	ανοικιζω	to remove up the country	NULL
578	ανοικοδομεω	to build up	NULL
579	ανοιμωζω	to wail aloud	NULL
580	ανοιστρεω	to goad to madness	NULL
581	κωχευω	to hold back	NULL
582	ανολολυζω	to cry aloud, shout (with joy)	NULL
583	ανομαλιζω	to restore to equality, equalise	NULL
584	ανομεω	to act lawlessly	NULL
585	ανομοιω	to make unlike	NULL
586	ανορθοω	to set up again, restore, rebuild	NULL
587	ανορνυμι	to rouse, stir up	NULL
588	ανορουω	to start up, leap up	NULL
589	ανορτᾰλιζω	to clap the wings and crow	NULL
590	ανορυττω	to dig up	NULL
591	ανοτοτυζω	to break out into wailing	NULL
592	ανοχμαζω	to hoist, lift up	NULL
593	αντᾰγοραζω	to buy with money received in payment	NULL
594	αντᾰγορευω	to speak against, reply	NULL
595	αντᾰγωνιστεω	to oppose, be a rival	NULL
596	ανταειρω	to raise one's	NULL
597	ανταιρω	to raise against	NULL
598	ανταιτεω	to demand in return	NULL
599	αντᾰκουω	to hear in turn	NULL
600	αντᾰλᾰλαζω	to return a shout	NULL
601	ανταλλαττω	to exchange	NULL
602	ανταμειβει	to exchange	NULL
603	ανταναβῐβαζω	to make go up in turn	NULL
604	ανταναγω	to lead up against	NULL
605	ανταναιρεω	to take away from the opposite sides of an account, to cancel	NULL
606	αντανᾱλισκω	to destroy in return	NULL
607	ανταναμενω	to wait instead	NULL
608	ανταναπιμπλημι	to fill up in return	NULL
609	ανταναπλεκω	to plait in rivalry with	NULL
610	ανταναπληρω	to supply as a substitute	NULL
611	αντανιστημι	to set up against	NULL
612	ανταξιοω	to demand as equivalent	NULL
613	ανταπαιτεω	to demand in return	NULL
614	ανταπερυκω	to keep off in turn	NULL
615	ανταποδεικνῡμι	to prove in return	NULL
616	ανταποδιδωμι	to give back, repay, tender in repayment	NULL
617	ανταποκτεινω	to kill in return	NULL
618	ανταπολαμβανω	to receive	NULL
619	ανταπολλῡμι	to destroy in return	NULL
620	ανταποτιω	to requite, repay	NULL
621	ανταποφαινω	to shew on the other hand	NULL
622	ανταρκεω	to hold out against	NULL
623	ανταυγεω	to reflect light	NULL
624	ανταυδαω	to speak against, answer	NULL
625	ανταυω	to sound in turn, answer	NULL
626	αντ	to come opposite to, meet face to face, meet with	NULL
627	αντεγγραφω	to insert	NULL
