	FPP	English	Sentiment
108	αγορᾱνομικος	of	NULL
109	αγορασαγενειος	will lounge in the	NULL
110	αγραμμᾰτος	without learning	NULL
111	αγραπτος	unwritten	NULL
112	αγραυλος	dwelling in the field	NULL
113	αγραφω	unwritten	NULL
114	αγρειος	of	NULL
115	αγριελαιω	of a wild olive	NULL
116	αγριοποιος	writing wild poetry	NULL
117	αγρι	living in the fields	NULL
118	αγριοφωνος	with wild rough voice	NULL
119	αγριωπος	wild-looking	NULL
120	αγροικε	of	NULL
121	αγρονομ	haunting the country, rural, wild	NULL
122	αγροτερω	wild	NULL
123	αγρυπνητικος	wakeful	NULL
124	αγρυπνος	hunting after sleep	NULL
125	αγυμναστος	unexercised, untrained	NULL
126	αγῠρτικος	fit for an	NULL
127	αγχεμᾰχος	fighting hand to hand	NULL
128	αγχιαλω	near the sea	NULL
129	αγχιβαθη	deep near shore	NULL
130	αγχιγειτων	neighbouring	NULL
131	αγχιθεος	near the gods	NULL
132	αγχιθῠρος	next door	NULL
133	αγχιμολος	coming near	NULL
134	αγχινεφης	near the clouds	NULL
135	αγχινου	ready of wit, sagacious, shrewd	NULL
136	αγχιπλους	near by sea	NULL
137	αγχιπορος	passing near, always near	NULL
138	αγχιστινος	close together, crowded, in heaps	NULL
139	αγχιστος	nearest	NULL
140	αγχιστροφος	turning closely, quick-wheeling	NULL
141	αγχιτερμων	near the borders, neighbouring	NULL
142	αγχιτοκος	in the pangs of child-birth	NULL
143	αγχονιος	fit for strangling	NULL
144	αγχοτερω	nearer	NULL
145	αγχουρος	neighbouring	NULL
146	αγχωμαλω	nearly equal	NULL
147	αγωγαιος	fit for leading by	NULL
148	αγωγιμος	easy to be led	NULL
149	γωγ	leading	NULL
150	αγωνιω	of	NULL
151	αγωνιστεος	one must contend	NULL
152	αγωνιστικος	fit for contest	NULL
153	ᾰδᾰημων	unknowing, ignorant of	NULL
154	ᾰδᾰης	unknowing how	NULL
155	αδᾰητος	unknown	NULL
156	αδαιτος	of which none might eat	NULL
157	αδακρῠς	without tears	NULL
158	ᾰδᾰμαντῐνος	adamantine	NULL
159	αδᾰμαντοδετος	iron-bound	NULL
160	ᾰδᾰμας	the untamed, unconquerable	NULL
161	αδαμαστος	inflexible	NULL
162	αδαματ	unconquered	NULL
163	αδαπᾰνος	without expense, costing nothing	NULL
164	αδαστος	undivided	NULL
165	αδεη	without fear, fearless	NULL
166	αδειμαντε	fearless, dauntless	NULL
167	αδειπνος	supperless	NULL
168	αδεκαστος	unbribed	NULL
169	αδεκατευτος	not tithed, tithe-free	NULL
170	αδελφοκτονω	murdering a brother	NULL
171	αδεξιος	left-handed, awkward	NULL
172	αδερκης	unseen, invisible	NULL
173	αδερκτος	not seeing	NULL
174	αδεσμω	unfettered, unbound	NULL
175	αδεσποτος	without master	NULL
176	αδετος	unbound, free	NULL
177	αδευκης	not sweet, bitter, cruel	NULL
178	αδεψητω	untanned	NULL
179	αδηον	unassailed, unravaged	NULL
180	αδηκτος	unbitten, not gnawed	NULL
181	αδηλ	not seen	NULL
182	αδηριτω	without strife	NULL
183	αδηφαγος	eating one's fill, gluttonous	NULL
184	αδηωτος	not ravaged	NULL
185	αδιαβατω	not to be passed	NULL
186	αδιαβλητος	not listening to slander	NULL
187	αδιαθετος	intestate	NULL
188	αδιακρῐτος	undecided	NULL
189	αδιαλειπτος	unintermitting, incessant	NULL
190	αδιαλυτω	undissolved, indissoluble	NULL
191	ᾰδῐαντος	unwetted	NULL
192	αδιαυλος	with no way back	NULL
193	αδιαφθαρτος		NULL
194	αδιαφθορω	uncorrupted	NULL
195	αδιδακτος	untaught, ignorant	NULL
196	αδιεξοδος	unable to get out	NULL
197	αδιερευνητος	unquestioned	NULL
198	αδιηγητω	indescribable	NULL
199	αδικαστος	undecided	NULL
200	αδικητεος	one must do wrong	NULL
201	αδικ	wrong-doing, unrighteous, unjust	NULL
202	αδινω	close-packed	NULL
203	αδιορθωτος	not corrected, not set right	NULL
204	αδιστακτος	not doubted	NULL
205	αδιψος	not suffering from thirst	NULL
206	αδμητ	unbroken	NULL
207	ταδοκητ	unexpected	NULL
208	αδοκιμαστος	untried, unproved	NULL
209	αδοκιμ	not standing the test, spurious	NULL
210	αδολω	without fraud, guileless	NULL
211	αδονητος	unshaken	NULL
212	αδοξαστος	not matter of opinion	NULL
213	δοξ	inglorious, disreputable	NULL
214	αδοτος	without gifts	NULL
215	αδουλος	unattended by slaves	NULL
216	αδουπητος	noiseless	NULL
217	αδρανες	inactive, powerless	NULL
218	αδραστ	not running away, not inclined to do so	NULL
219	αδριᾱκος	from the Adriatic	NULL
220	αδριᾱνος	Adriatic	NULL
221	αδρος	thick	NULL
222	αδυνατ	unable	NULL
223	αδυτω	not to be entered	NULL
224	αδωρητος		NULL
225	αδωροδοκητω		NULL
226	αδωροδοκος	incorruptible	NULL
227	αδωρος	without gifts, taking none, incorruptible	NULL
228	αειβολος	continually thrown	NULL
229	αειγενες	everlasting	NULL
230	αειδ	without form, incorporeal	NULL
231	αειδινητος	ever-revolving	NULL
232	αειζωον	ever-living	NULL
233	αειθαλη	ever-green	NULL
234	αεικη	unseemly, shameful	NULL
235	αειμνηστος	ever to be remembered	NULL
236	αειπαρθενος	ever a virgin	NULL
237	αειρῠτος	ever-flowing	NULL
238	αειφλεγης	ever-burning	NULL
239	αειφρουρος	ever-watching	NULL
240	αειχρονιος	everlasting	NULL
241	αεκαζομενος	against one's will, unwilling	NULL
242	αεκηλιος		NULL
243	ακουσιω	against one's will, involuntary	NULL
244	ᾱκον	against one's will, unwilling	NULL
245	αελλαιος	storm-swift	NULL
246	αελλομαχος	struggling with the storm	NULL
247	αελπης	unhoped for, unexpected	NULL
248	αελπτ	unexpectedly	NULL
249	αεναω	ever-flowing	NULL
250	αεξιφυλλος	nourishing leaves, leafy	NULL
251	αεξιφῠτος	nourishing plants	NULL
252	αεργω	not-working, idle	NULL
253	ηεριος	in the mist	NULL
254	ηεροδινης	wheeling in air	NULL
255	αεροδονητος	air-tossed, soaring	NULL
256	αερονηχης	floating in air	NULL
257	αεροφοιτος	roaming in air	NULL
258	αερσιποτητος	high-soaring	NULL
259	αεσιφρων	damaged in mind, witless, silly	NULL
260	αετωδης	eagle-like	NULL
261	αζᾰλεος	dry, parched	NULL
262	αζηλος	not subject to envy, unenviable, dreary	NULL
263	αζηλοτῠπος	free from jealousy, envy	NULL
264	αζηλωτος	not to be envied	NULL
265	αζημιος	free from further payment: without loss, scot-free	NULL
266	αζηχες	unceasing, excessive	NULL
267	αζῠγος	unwedded	NULL
268	αζῡμος	unleavened	NULL
269	αζωστος	ungirt	NULL
270	αηδη	unpleasant to the taste, distasteful	NULL
271	αηδονιος	of a nightingale	NULL
272	ωηθη	unwonted, unusual	NULL
273	αηττητω	unconquered	NULL
274	αησῠλος	wicked	NULL
275	αησῠρος	light as air, small, little	NULL
276	αηθ	stormy, furious	NULL
277	αθᾰλασσωτος	unused to the sea, a land-lubber	NULL
278	αθᾰλης	not verdant, withered	NULL
279	αθαλπης	without warmth	NULL
280	αθαμβης	fearless	NULL
281	αθανατ	undying, immortal	NULL
282	αθαπτος	unburied	NULL
283	αθαρσες	discouraged, downhearted	NULL
284	αθεᾱτος	unseen, invisible	NULL
285	αθειαστος	uninspired	NULL
286	αθελκτος	implacable	NULL
287	αθεμιστιος	lawless, godless	NULL
288	αθεμιτος	lawless, without law	NULL
289	αθεω	without God, denying the gods	NULL
290	αθεραπευτος	uncared for	NULL
291	αθερμαντος	not heated by strife	NULL
292	αθερμος	without heat	NULL
293	αθεσμος		NULL
294	αθεσφᾰτος	beyond even a god's power to express: ineffable, aweful	NULL
295	αθετω	set aside	NULL
296	αθεωρητος	without observation	NULL
297	αθηλυς	unfeminine	NULL
298	αθηναιε	Athenian, of	NULL
299	αθηρευτος	not hunted	NULL
300	αθηρος	without wild beasts	NULL
301	θιγες	untouched	NULL
302	αθικτος	untouched	NULL
303	αθλι	gaining the prize	NULL
304	αθλοφορος	bearing away the prize, victorious	NULL
305	αθολος	not turbid, clear	NULL
306	αθολωτος	untroubled	NULL
307	αθορυβητος	undisturbed	NULL
308	αθορυβω	without uproar	NULL
309	αθραυστος	unbroken, unhurt	NULL
310	αθρητεον	one must consider	NULL
311	αθρο	in crowds	NULL
312	αθρυπτος	not broken, not enervated	NULL
313	αθῡμητεον	one must lose heart	NULL
314	αθῡμω	without heart, fainthearted	NULL
315	αθῠρογλωττος	one that cannot keep his mouth shut, a ceaseless babbler	NULL
316	αθυρε	without door	NULL
317	αθῠροστομος	ever-babbling	NULL
318	αθυρσος	without thyrsus	NULL
319	αθυρωτος	never closed	NULL
320	αθῠτος	not offered	NULL
321	αθωος	of mount Athos	NULL
322	αθωω	unpunished, scot-free	NULL
323	αθωπευτος	not flattered, without flattery	NULL
324	αθωρακιστος	without breastplate	NULL
325	αιακτος	bewailed, lamentable	NULL
326	αιανη	dreary, dismal, direful, horrid	NULL
327	αιγαιω	Aegaean	NULL
328	αιγειος	of Aegeus	NULL
329	αιγειω	of a goat	NULL
330	αιγεος	a goat's skin	NULL
331	αιγιβοτος	browsed by goats	NULL
332	αιγικνημος	goat-shanked	NULL
333	αιγῑναιος	of Aegina	NULL
334	αιγῐνομος	browsed by goats	NULL
335	αιγῐνομος	feeding goats	NULL
336	αιγιοχω	Aegis-bearing	NULL
337	αιγληεν	dazzling, radiant, lustrous	NULL
338	αιγλοφᾰνης	radiant	NULL
339	αιγοπροσωπος	goat-faced	NULL
340	αιγυπτιακω	of	NULL
341	αιγυπτιω	Egyptian	NULL
342	αιγυπτογενη	of Egyptian race	NULL
343	αιδεσιμος	exciting shame, venerable	NULL
344	αιδηλος	making unseen, annihilating, destroying	NULL
345	αιδημον	bashful, modest	NULL
346	αδ	unseen, annihilated	NULL
347	αιδιω	everlasting, eternal	NULL
348	αιδνη	unseen, dark	NULL
349	αιδοιω	regarded with reverence, august, venerable	NULL
350	αιδοφρων	respectful in mind, compassionate	NULL
351	αιδρυτος	unsettled, vagabond	NULL
352	αιενυπνος	lulling in eternal sleep	NULL
353	αιζηω	strong, lusty, vigorous	NULL
354	αιητος	terrible, mighty	NULL
355	αιθαλοεν	smoky, sooty	NULL
356	αιθεριω	of	NULL
357	αιθεροδρομος	ether-skimming	NULL
358	αιθιοπικω	Ethiopian	NULL
359	αιθρηγενης	born in ether, sprung from ether	NULL
360	αιθριω	clear, bright, fair	NULL
361	αιθων	fiery, burning, blazing	NULL
362	αικελιος		NULL
363	αικ		NULL
364	αιλῐνος	a plaintive dirge	NULL
365	αιμακτος	mingled with blood, of blood	NULL
366	αιμαλεος	bloody, blood-red	NULL
367	αιμᾰτηρος	bloody, bloodstained, murderous	NULL
368	αιμᾰτηφορος	bringing blood, bloody	NULL
369	αιματοεν	blood-red	NULL
370	αιμᾰτολοιχος	licking blood	NULL
371	αιμᾰτορροφος	blood-drinking	NULL
372	αιμᾰτορρῠτος	blood-streaming	NULL
373	αιματοσταγη	blood-dripping	NULL
374	αιμᾰτοφυρτος	blood-stained	NULL
375	αιματωδη	blood-red	NULL
376	αιμᾰτωπος	bloody to behold	NULL
377	αιμοβαφη	bathed in blood	NULL
378	αιμοβορος	blood-sucking, greedy of blood	NULL
379	αιμοδιψος	bloodthirsty	NULL
380	αιμορρᾰγης	bleeding violently	NULL
381	αιμορραντος	blood-sprinkled	NULL
382	αιμορυτος	blood-streaming	NULL
383	αιμοσταγη		NULL
384	αιμοφορυκτος	defiled with blood	NULL
385	αιμῠλος	flattering, wheedling, wily	NULL
386	αιμωδης	bloody, blood-red	NULL
387	αιμωπος		NULL
388	αινετω	praiseworthy	NULL
389	αινητος		NULL
390	αινιγματωδη	riddling, dark	NULL
391	αινικτηριος	in riddles	NULL
392	αινικτος	expressed in riddles, riddling	NULL
393	αινογᾰμος	fatally wedded	NULL
394	αινοθρυπτε	sadly enervated	NULL
395	αινολαμπες	horrid-gleaming	NULL
396	αινολεκτρος	fatally wedded	NULL
397	αινολῐνος	unfortunate in life's thread	NULL
398	αινομορος	doomed to a sad end	NULL
399	αινοπαθη	suffering dire ills	NULL
400	αιν	dread, dire, grim	NULL
401	αιολικος	of	NULL
402	αιολοπωλος	with quick-moving steeds	NULL
403	αιολ	quick-moving	NULL
404	αιολοστομος	shifting in speech	NULL
405	αιπεινος	high, lofty	NULL
406	αιπηεις		NULL
407	αιπολικος	of	NULL
408	αιπος	high, lofty	NULL
409	αιπυνωτος	high-backed, on a high mountain-ridge	NULL
410	αιπυ	high and steep, lofty	NULL
411	αιρεσιμος	that can be taken	NULL
412	αιρετεος	to be taken, desirable	NULL
413	αιρετικος	able to choose	NULL
414	αιρετος	that may be taken	NULL
415	αισθητικω	of	NULL
416	αισθητω	perceptible by the senses	NULL
417	αισιμω	fatal	NULL
418	αισιω	boding well, auspicious	NULL
419	ασε	unlike, unequal	NULL
420	αστος	not to be seen, unseen	NULL
421	αισῠλος	unseemly, evil	NULL
422	αισχρημων	shameful	NULL
423	αισχροκερδη	sordidly greedy of gain	NULL
424	αισχροποιε	doing foully	NULL
425	αισχρ	causing shame, abusive	NULL
426	αισχυντεος	one must be ashamed	NULL
427	αισχυντηλος	bashful, modest	NULL
428	αισχυντηρος		NULL
429	αισχυντικος	shameful	NULL
430	αιτητεον	one must ask	NULL
431	αιτητικος	fond of asking	NULL
432	αιτητος	asked for	NULL
433	αιτιᾱτεον	one must accuse	NULL
434	αιτιολογικος	inquiring into causes	NULL
435	αιτι	to blame, blameworthy, culpable	NULL
436	αιτναιε	of or belonging to Etna	NULL
437	αφνιδιος	unforeseen, sudden	NULL
438	αιχμᾰλωτικος	of	NULL
439	αιχμαλωθ	taken by the spear, captive to one's spear, taken prisoner	NULL
440	αιχμηεις	armed with the spear	NULL
441	αιχμοφορος	one who trails a pike, a spearman	NULL
442	αιψηροκελευθος	swift-speeding	NULL
443	αιψηρος	quick, speedy, in haste	NULL
444	αιωνιω	lasting for an age	NULL
445	αιωρητος	a hovering	NULL
446	ακαδημικος	the Academy	NULL
447	ακαθαρτε	uncleansed, unclean, impure	NULL
448	ακαιρ	ill-timed, unseasonable, inopportune	NULL
449	ακακε	unknowing of ill, guileless	NULL
450	ακαλλης	without charms	NULL
451	ακαλλιερητος	ill-omened	NULL
452	ακαλλωπιστος	unadorned	NULL
453	ακαλυπτω	uncovered, unveiled	NULL
454	ακαλυφη		NULL
455	ᾰκᾰμας	untiring, unresting	NULL
456	ακαματω	without sense of toil	NULL
457	ακαμπτω	unbent, that will not bend, rigid	NULL
458	ακανθινω	of thorns	NULL
459	ακανθολογος	gathering thorns	NULL
460	ακανθωδη	full of thorns, thorny	NULL
461	ακαπνος	without smoke	NULL
462	ακαρδιος	wanting the heart	NULL
463	ακαρηνος	headless	NULL
464	ακαρη	too short to be cut, very short	NULL
465	ακαριαιος	momentary, brief	NULL
466	ακαρπιστος	where nothing is to be reaped, unfruitful	NULL
467	ακαρπος	without fruit, barren	NULL
468	ακαρπωτος	not made fruitful, without fruit	NULL
469	ακασκαιος	gentle	NULL
470	ακαταβλητος	not to be overthrown, irrefragable	NULL
471	ακαταγνωστος	not to be condemned	NULL
472	ακατακαλυπτω	uncovered	NULL
473	ακατακρῐτος	uncondemned	NULL
474	ακαταλλακτος	irreconcileable	NULL
475	ακαταλῠτος	indissoluble	NULL
476	ακαταπαυστος	that cannot cease from	NULL
477	ακαταστᾰτος	unstable, unsettled	NULL
478	ακατασχετος	not to be checked	NULL
479	ακαταφρονητος	not to be despised, important	NULL
480	ακαταψευστος	not fabulous	NULL
481	ακαυστος	unburnt	NULL
482	ακαχμενος	sharpened	NULL
483	ακελευστος	unbidden	NULL
484	ᾰκεντητος	needing no goad	NULL
485	ακεντρος	without sting, stingless	NULL
486	ακεραιω	unmixed, pure in blood	NULL
487	ακεραυνωτος	not lightning-struck	NULL
488	ακερδη	without gain, bringing loss	NULL
489	ακερκιστος	unwoven	NULL
490	ακερκος	without a tail	NULL
491	ακερωτος	not horned	NULL
492	ακεστω	curable	NULL
493	ακεσφορος	bringing a cure, healing	NULL
494	ακεσωδῠνος	allaying pain	NULL
495	ακεφᾰλος	without head	NULL
496	ακεων	softly, silently	NULL
497	ακηδεστος	uncared for, unburied	NULL
498	ακηδευτος	unburied	NULL
499	ακηδης	uncared for, unburied	NULL
500	ακηλητω	to be won by no charms, proof against enchantment, inexorable	NULL
501	ακηρασιος	unmixed	NULL
502	ακηρατω	unmixed, uncontaminated, undefiled	NULL
503	ακηριος	unharmed by the	NULL
504	ακηρυκτω	unannounced, unproclaimed	NULL
505	ακηρωτος	unwaxed	NULL
506	ακιβδηλος	unadulterated, genuine	NULL
507	ακιδνος	weak, feeble, faint	NULL
508	ακινδυν	without danger, free from danger	NULL
509	τακινητ	unmoved, motionless	NULL
510	ακιος	not worm-eaten	NULL
511	ακῐρος		NULL
512	ακιχητος	not to be reached, unattainable	NULL
513	ακλαστος	unbroken	NULL
514	ακλαυτω	unlamented	NULL
515	ακληης	without fame, inglorious, unsung	NULL
516	ακλεια		NULL
517	ακληστ	not closed	NULL
518	ακληρω	without lot	NULL
519	ακληρωτος	without lot	NULL
520	ακλητω	uncalled, unbidden	NULL
521	ακλινη	bending to neither side, unswerving	NULL
522	ακλυστω	unwashed by waves	NULL
523	ακμαι	in full bloom, at the prime, blooming, vigorous	NULL
524	ακμηνος	full-grown	NULL
525	ακμηνος	fasting	NULL
526	ακμητος		NULL
527	ακνῑσος	without the fat of sacrifices	NULL
528	ακοιμητω	sleepless	NULL
529	ακοινωνητος	not shared with	NULL
530	ακολαστ	licentious, intemperate	NULL
531	ακολουθητεον	one must follow	NULL
532	τακολουθ	following, attending on	NULL
533	ακολυμβος	unable to swim	NULL
534	ακομιστος	untended	NULL
535	ακομος	without hair, bald	NULL
536	ακομπαστος	not boastful	NULL
537	ακομπ	not boasting	NULL
538	ακομψος	unadorned, boorish	NULL
539	ακονδῠλος	without knuckles:—without blows	NULL
540	ακονιτικω	made of aconite	NULL
541	ακονῑτος	without dust.	NULL
542	ακοντιστικος	skilled in throwing the javelin	NULL
543	ακοπος	without weariness	NULL
544	ακορης	insatiate	NULL
545	ακορητω	insatiate, unsated in	NULL
546	ᾰκορος	untiring, ceaseless	NULL
547	ακοσμητος	unarranged, unorganised	NULL
548	ακοσμω	without order, disorderly	NULL
549	ακουρος	without male heir	NULL
550	ακουσιθεος	heard of God	NULL
551	ακουστεος	one must hear	NULL
552	ακουσθ	heard, audible	NULL
553	ακρᾱαντος	unfulfilled, fruitless	NULL
554	ακραγες	not barking	NULL
555	ακραη	blowing strongly, fresh-blowing	NULL
556	ακραιος	dwelling on the heights	NULL
557	ακραιφνη	unmixed, pure	NULL
558	ακραντ	unfulfilled, fruitless	NULL
559	ακρατη	powerless, impotent	NULL
560	ακρᾱτιστος	having breakfasted	NULL
561	ακρατω	unmixed, sheer	NULL
562	ακροχολος	quick to anger, passionate	NULL
563	ακρεσπερος	at eventide	NULL
564	ακρηβος	in earliest youth	NULL
565	ακριβη	exact, accurate, precise, made	NULL
566	ακρῑβολογος	precise in argument	NULL
567	ακρῐτοδακρυς	shedding floods of tears	NULL
568	ακριτομυθε	recklessly	NULL
569	ακριτε	undistinguishable, unarranged, disorderly	NULL
570	ακρῐτοφυλλος	of undistinguishable	NULL
571	ακρῐτοφυρτος	undistinguishably mixed	NULL
572	ακροᾱματικος	designed for hearing only	NULL
573	ακροατεος	one must listen to	NULL
574	ακροᾱτικος	of	NULL
575	ακροβᾰφης	tinged at the point	NULL
576	ακροβολη	with a point at the end	NULL
577	ακροβολος	struck from afar	NULL
578	ακρογωνιαιος	at the extreme angle	NULL
579	ακροδετος	bound at the end	NULL
580	ακροθῐγης	touching on the surface, touching the lips	NULL
581	ακροκνεφα	at the beginning of night, in twilight	NULL
582	ακροκομος	with hair on the crown	NULL
583	ακρολῐθος	with the ends made of stone	NULL
584	ακρολοφος	high-crested, peaked	NULL
585	ακρομᾰνης	on the verge of madness	NULL
586	ακρομολιβδος	leaded at the edge	NULL
587	ακρονῠχος	at night-fall, at even	NULL
588	ακροπενθης	exceeding sad	NULL
589	ακροπολος	high-ranging, lofty	NULL
590	ακροπορος	piercing with the point	NULL
591	ακροσιδηρος	pointed	NULL
592	ακροσοφος	high in wisdom	NULL
593	ακρω	at the furthest point	NULL
594	ακροσφᾰλης	apt to trip, unsteady, precarious	NULL
595	ακροτομος	cut off sharp, abrupt	NULL
596	ακροχᾰνης	yawning at top	NULL
597	ακρυπτος	unhidden	NULL
598	ακρυσταλλος	free from ice	NULL
599	ακρωνῠχος	with nails at the extremities	NULL
600	ακταιος	on the coast	NULL
601	ακτεᾰνος	without property, poor	NULL
602	ακτενιστος	uncombed, unkempt	NULL
603	ακτεος	one must lead	NULL
604	ακτεριστος	unhallowed by funeral rites	NULL
605	ακτημων	without property, poor	NULL
606	ακτητος	not worth getting	NULL
607	ακτιω	haunting the shore	NULL
608	ακτῐτος	untilled	NULL
609	ακῠβερνητος	without steersman	NULL
610	ακυμον	not washed by the waves	NULL
611	ακυμος	tranquil	NULL
612	ακυμον	without fruit, barren	NULL
613	ακυρ	without authority	NULL
614	ακυρωτος	unconfirmed	NULL
615	ακωλῡτος	unhindered	NULL
616	ακωμωδητος	not ridiculed	NULL
617	ακωπος	without oars	NULL
618	αλαζονικος	boastful, braggart	NULL
619	αλαζονιστατον	a vagabond	NULL
620	αλαλητω	unutterable	NULL
621	αλᾰλος	speechless	NULL
622	αλαμπετος	without light, darksome	NULL
623	αλαμπες	out of	NULL
624	αλαω	video	NULL
625	αλᾰπαδνος	exhausted, powerless, feeble	NULL
626	αλαστορ	under the influence of an	NULL
627	αλαστ	not to be forgotten, insufferable, unceasing	NULL
628	αλγειν	giving pain, painful, grievous	NULL
629	αλγῐνοεις	painful, grievous	NULL
630	αλγιω	more	NULL
631	ᾰλεγεινος	hard	NULL
632	αλεεινε	open to the sun, warm, hot	NULL
633	αλεα	in the sun	NULL
634	αλεκτρ	unbedded, unwedded	NULL
635	αλεξανδρε	defending men	NULL
636	αλεξανδρωδης	Alexander-like	NULL
637	αλεξανεμος	keeping off the wind	NULL
638	αλεξητηριω	able to keep off	NULL
639	αλεξιβελεμνος	keeping off darts	NULL
640	αλεξικακε	keeping off evil	NULL
641	αλεξιμβροτω	protecting mortals	NULL
642	αλεξιμορος	warding off death	NULL
643	αληθη	unconcealed, true	NULL
644	αληθινω	agreeable to truth	NULL
645	αληιος	of wandering	NULL
646	αληιος	poor in lands	NULL
647	αληπτος	not to be laid hold of, hard to catch	NULL
648	αλ	assembled, thronged, in a mass, all at once	NULL
649	αληστος		NULL
650	αλιᾱης	blowing seaward	NULL
651	αλιανθης	sea-blooming	NULL
652	αλιαστος	unshrinking, unabating	NULL
653	αλιβατος		NULL
654	αλιβρεκτος	washed by the sea	NULL
655	αλιγκιος	resembling, like	NULL
656	αλιδονος	sea-tossed	NULL
