id	text	bare_text	sequence_num	morph_code	base_form	bare_base_form	definition
30	ἀκραιφνής	ακραιφνης	30	a-p---fn-	ἀκραιφνής	ακραιφνης	unmixed, pure
31	ἀκραιφνεῖς	ακραιφνεις	31	a-p---fv-	ἀκραιφνής	ακραιφνης	unmixed, pure
32	ἀκραιφνής	ακραιφνης	32	a-p---fv-	ἀκραιφνής	ακραιφνης	unmixed, pure
33	ἀκραιφνεῖς	ακραιφνεις	33	a-p---ma-	ἀκραιφνής	ακραιφνης	unmixed, pure
34	ἀκραιφνής	ακραιφνης	34	a-p---ma-	ἀκραιφνής	ακραιφνης	unmixed, pure
35	ἀκραιφνέσι	ακραιφνεσι	35	a-p---md-	ἀκραιφνής	ακραιφνης	unmixed, pure
36	ἀκραιφνῶν	ακραιφνων	36	a-p---mg-	ἀκραιφνής	ακραιφνης	unmixed, pure
37	ἀκραιφνεῖς	ακραιφνεις	37	a-p---mn-	ἀκραιφνής	ακραιφνης	unmixed, pure
38	ἀκραιφνής	ακραιφνης	38	a-p---mn-	ἀκραιφνής	ακραιφνης	unmixed, pure
39	ἀκραιφνεῖς	ακραιφνεις	39	a-p---mv-	ἀκραιφνής	ακραιφνης	unmixed, pure
40	ἀκραιφνής	ακραιφνης	40	a-p---mv-	ἀκραιφνής	ακραιφνης	unmixed, pure
41	ἀκραιφνῆ	ακραιφνη	41	a-p---na-	ἀκραιφνής	ακραιφνης	unmixed, pure
42	ἀκραιφνέσι	ακραιφνεσι	42	a-p---nd-	ἀκραιφνής	ακραιφνης	unmixed, pure
43	ἀκραιφνῶν	ακραιφνων	43	a-p---ng-	ἀκραιφνής	ακραιφνης	unmixed, pure
44	ἀκραιφνῆ	ακραιφνη	44	a-p---nn-	ἀκραιφνής	ακραιφνης	unmixed, pure
45	ἀκραιφνῆ	ακραιφνη	45	a-p---nv-	ἀκραιφνής	ακραιφνης	unmixed, pure
46	ἀκραιφνεῖ	ακραιφνει	46	a-s----d-	ἀκραιφνής	ακραιφνης	unmixed, pure
47	ἀκραιφνῆ	ακραιφνη	47	a-s---fa-	ἀκραιφνής	ακραιφνης	unmixed, pure
48	ἀκραιφνεῖ	ακραιφνει	48	a-s---fd-	ἀκραιφνής	ακραιφνης	unmixed, pure
49	ἀκραιφνεστάτῃ	ακραιφνεστατη	49	a-s---fds	ἀκραιφνής	ακραιφνης	unmixed, pure
50	ἀκραιφνοῦς	ακραιφνους	50	a-s---fg-	ἀκραιφνής	ακραιφνης	unmixed, pure
51	ἀκραιφνής	ακραιφνης	51	a-s---fn-	ἀκραιφνής	ακραιφνης	unmixed, pure
52	ἀκραιφνές	ακραιφνες	52	a-s---fv-	ἀκραιφνής	ακραιφνης	unmixed, pure
53	ἀκραιφνῆ	ακραιφνη	53	a-s---ma-	ἀκραιφνής	ακραιφνης	unmixed, pure
54	ἀκραιφνέστερον	ακραιφνεστερον	54	a-s---mac	ἀκραιφνής	ακραιφνης	unmixed, pure
55	ἀκραιφνέστατον	ακραιφνεστατον	55	a-s---mas	ἀκραιφνής	ακραιφνης	unmixed, pure
56	ἀκραιφνεῖ	ακραιφνει	56	a-s---md-	ἀκραιφνής	ακραιφνης	unmixed, pure
57	ἀκραιφνοῦς	ακραιφνους	57	a-s---mg-	ἀκραιφνής	ακραιφνης	unmixed, pure
58	ἀκραιφνής	ακραιφνης	58	a-s---mn-	ἀκραιφνής	ακραιφνης	unmixed, pure
59	ἀκραιφνές	ακραιφνες	59	a-s---mv-	ἀκραιφνής	ακραιφνης	unmixed, pure
60	ἀκραιφνές	ακραιφνες	60	a-s---na-	ἀκραιφνής	ακραιφνης	unmixed, pure
61	ἀκραιφνέστερον	ακραιφνεστερον	61	a-s---nac	ἀκραιφνής	ακραιφνης	unmixed, pure
62	ἀκραιφνέστατον	ακραιφνεστατον	62	a-s---nas	ἀκραιφνής	ακραιφνης	unmixed, pure
63	ἀκραιφνεῖ	ακραιφνει	63	a-s---nd-	ἀκραιφνής	ακραιφνης	unmixed, pure
64	ἀκραιφνοῦς	ακραιφνους	64	a-s---ng-	ἀκραιφνής	ακραιφνης	unmixed, pure
65	ἀκραιφνές	ακραιφνες	65	a-s---nn-	ἀκραιφνής	ακραιφνης	unmixed, pure
66	ἀκραιφνέστερον	ακραιφνεστερον	66	a-s---nnc	ἀκραιφνής	ακραιφνης	unmixed, pure
67	ἀκραιφνέστατον	ακραιφνεστατον	67	a-s---nns	ἀκραιφνής	ακραιφνης	unmixed, pure
68	ἀκραιφνές	ακραιφνες	68	a-s---nv-	ἀκραιφνής	ακραιφνης	unmixed, pure
69	ἀκραιφνέστερον	ακραιφνεστερον	69	a-s---nvc	ἀκραιφνής	ακραιφνης	unmixed, pure
70	ἀκραιφνέστατον	ακραιφνεστατον	70	a-s---nvs	ἀκραιφνής	ακραιφνης	unmixed, pure
71	ἀκραιφνέστερον	ακραιφνεστερον	71	d-------c	ἀκραιφνής	ακραιφνης	unmixed, pure
72	ἀμβλεῖα	αμβλεια	72	a-d---fa-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
73	ἀμβλύτατα	αμβλυτατα	73	a-d---fa-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
74	ἀμβλύτερα	αμβλυτερα	74	a-d---fa-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
75	ἀμβλεῖα	αμβλεια	75	a-d---fn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
76	ἀμβλύτατα	αμβλυτατα	76	a-d---fn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
77	ἀμβλύτερα	αμβλυτερα	77	a-d---fn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
78	ἀμβλεῖα	αμβλεια	78	a-d---fv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
79	ἀμβλύτατα	αμβλυτατα	79	a-d---fv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
80	ἀμβλύτερα	αμβλυτερα	80	a-d---fv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
81	ἀμβλεῖαν	αμβλειαν	81	a-p---fg-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
82	ἀμβλείᾳ	αμβλεια	82	a-p---fn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
83	ἀμβλυτέραι	αμβλυτεραι	83	a-p---fn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
84	ἀμβλυτέρᾳ	αμβλυτερα	84	a-p---fn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
85	ἀμβλείᾳ	αμβλεια	85	a-p---fv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
86	ἀμβλυτέραι	αμβλυτεραι	86	a-p---fv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
87	ἀμβλυτέρᾳ	αμβλυτερα	87	a-p---fv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
88	ἀμβλυτέρους	αμβλυτερους	88	a-p---ma-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
89	ἀμβλυτέρως	αμβλυτερως	89	a-p---ma-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
90	ἀμβλεῖς	αμβλεις	90	a-p---mn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
91	ἀμβλύτεροι	αμβλυτεροι	91	a-p---mn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
92	ἀμβλύτεροι	αμβλυτεροι	92	a-p---mv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
93	ἀμβλύτατα	αμβλυτατα	93	a-p---na-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
94	ἀμβλύτερα	αμβλυτερα	94	a-p---na-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
95	ἀμβλύτατα	αμβλυτατα	95	a-p---nn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
96	ἀμβλύτερα	αμβλυτερα	96	a-p---nn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
97	ἀμβλύτατα	αμβλυτατα	97	a-p---nv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
98	ἀμβλύτερα	αμβλυτερα	98	a-p---nv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
99	ἀμβλεῖαν	αμβλειαν	99	a-s---fa-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
100	ἀμβλείᾳ	αμβλεια	100	a-s---fd-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
101	ἀμβλυτέραι	αμβλυτεραι	101	a-s---fd-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
102	ἀμβλυτέρᾳ	αμβλυτερα	102	a-s---fd-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
103	ἀμβλυτάτης	αμβλυτατης	103	a-s---fg-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
104	ἀμβλεῖα	αμβλεια	104	a-s---fn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
105	ἀμβλύτατα	αμβλυτατα	105	a-s---fn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
106	ἀμβλύτερα	αμβλυτερα	106	a-s---fn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
107	ἀμβλεῖα	αμβλεια	107	a-s---fv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
108	ἀμβλύτατα	αμβλυτατα	108	a-s---fv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
109	ἀμβλύτερα	αμβλυτερα	109	a-s---fv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
110	ἀμβλύν	αμβλυν	110	a-s---ma-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
111	ἀμβλύτερον	αμβλυτερον	111	a-s---ma-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
112	ἀμβλέος	αμβλεος	112	a-s---mg-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
113	ἀμβλ-ύς	αμβλ-υς	113	a-s---mn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
114	ἀμβλύς	αμβλυς	114	a-s---mn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
115	ἀμβλύτερος	αμβλυτερος	115	a-s---mn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
116	ἀμβλύ	αμβλυ	116	a-s---mv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
117	τὠμβλύ	τωμβλυ	117	a-s---mv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
118	ἀμβλύ	αμβλυ	118	a-s---na-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
119	ἀμβλύτερον	αμβλυτερον	119	a-s---na-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
120	τὠμβλύ	τωμβλυ	120	a-s---na-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
121	ἀμβλέος	αμβλεος	121	a-s---ng-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
122	ἀμβλύ	αμβλυ	122	a-s---nn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
123	ἀμβλύτερον	αμβλυτερον	123	a-s---nn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
124	τὠμβλύ	τωμβλυ	124	a-s---nn-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
125	ἀμβλύ	αμβλυ	125	a-s---nv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
126	ἀμβλύτερον	αμβλυτερον	126	a-s---nv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
127	τὠμβλύ	τωμβλυ	127	a-s---nv-	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
128	ἀμβλέως	αμβλεως	128	d--------	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
129	ἀμβλυτέρως	αμβλυτερως	129	d--------	ἀμβλύς	αμβλυς	blunt, dulled, with the edge taken off
130	ἀμετρήτα	αμετρητα	130	a-d---fa-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
131	ἀμετρήτα	αμετρητα	131	a-d---fn-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
132	ἀμετρήτα	αμετρητα	132	a-d---fv-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
133	ἀμετρήτας	αμετρητας	133	a-p---fa-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
134	ἀμετρήτως	αμετρητως	134	a-p---fa-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
135	ἀμετρήτοις	αμετρητοις	135	a-p---fd-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
136	ἀμετρήτων	αμετρητων	136	a-p---fg-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
137	ἀμέτρητ’	αμετρητ	137	a-p---fn-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
138	ἀμέτρητ’	αμετρητ	138	a-p---fv-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
139	ἀμετρήτως	αμετρητως	139	a-p---ma-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
140	ἀμετρήτοις	αμετρητοις	140	a-p---md-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
141	ἀμετρήτων	αμετρητων	141	a-p---mg-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
142	ἀμέτρητ’	αμετρητ	142	a-p---na-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
143	ἀμετρήτα	αμετρητα	143	a-p---na-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
144	ἀμετρήτοις	αμετρητοις	144	a-p---nd-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
145	ἀμετρήτων	αμετρητων	145	a-p---ng-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
146	ἀμέτρητ’	αμετρητ	146	a-p---nn-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
147	ἀμετρήτα	αμετρητα	147	a-p---nn-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
148	ἀμέτρητ’	αμετρητ	148	a-p---nv-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
149	ἀμετρήτα	αμετρητα	149	a-p---nv-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
150	ἀμέτρητον	αμετρητον	150	a-s---fa-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
151	ἀμέτρητ’	αμετρητ	151	a-s---fd-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
152	ἀμετρήτας	αμετρητας	152	a-s---fg-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
153	ἀμέτρητος	αμετρητος	153	a-s---fn-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
154	ἀμετρ-ητος	αμετρ-ητος	154	a-s---fn-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
155	ἀμετρήτα	αμετρητα	155	a-s---fn-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
156	ἀμετρητος	αμετρητος	156	a-s---fn-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
157	ἀμέτρητ’	αμετρητ	157	a-s---fv-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
158	ἀμετρήτα	αμετρητα	158	a-s---fv-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
159	ἀμέτρητον	αμετρητον	159	a-s---ma-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
160	ἀμέτρητος	αμετρητος	160	a-s---mn-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
161	ἀμετρ-ητος	αμετρ-ητος	161	a-s---mn-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
162	ἀμετρητος	αμετρητος	162	a-s---mn-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
163	ἀμέτρητ’	αμετρητ	163	a-s---mv-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
164	ἀμέτρητον	αμετρητον	164	a-s---na-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
165	ἀμέτρητον	αμετρητον	165	a-s---nn-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
166	ἀμέτρητον	αμετρητον	166	a-s---nv-	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
167	ἀμετρήτως	αμετρητως	167	d--------	ἀμέτρητος	αμετρητος	unmeasured, immeasurable, immense
168	ἀμπελοφύτορα	αμπελοφυτορα	168	n-s---ma-	ἀμπελοφύτωρ	αμπελοφυτωρ	a vine-planter
169	ἀμπελο-φύτωρ	αμπελο-φυτωρ	169	n-s---mn-	ἀμπελοφύτωρ	αμπελοφυτωρ	a vine-planter
170	ἀμπελοφύτωρ	αμπελοφυτωρ	170	n-s---mn-	ἀμπελοφύτωρ	αμπελοφυτωρ	a vine-planter
171	ἀμφιβίων	αμφιβιων	171	a-p---fg-	ἀμφίβιος	αμφιβιος	living a double life
172	ἀμφιβίων	αμφιβιων	172	a-p---mg-	ἀμφίβιος	αμφιβιος	living a double life
173	ἀμφίβια	αμφιβια	173	a-p---na-	ἀμφίβιος	αμφιβιος	living a double life
174	ἀμφιβίων	αμφιβιων	174	a-p---ng-	ἀμφίβιος	αμφιβιος	living a double life
175	ἀμφίβια	αμφιβια	175	a-p---nn-	ἀμφίβιος	αμφιβιος	living a double life
176	ἀμφίβια	αμφιβια	176	a-p---nv-	ἀμφίβιος	αμφιβιος	living a double life
177	ἀμφίβιον	αμφιβιον	177	a-s---fa-	ἀμφίβιος	αμφιβιος	living a double life
178	ἀμφίβιος	αμφιβιος	178	a-s---fn-	ἀμφίβιος	αμφιβιος	living a double life
179	ἀμφίβιον	αμφιβιον	179	a-s---ma-	ἀμφίβιος	αμφιβιος	living a double life
180	ἀμφίβιος	αμφιβιος	180	a-s---mn-	ἀμφίβιος	αμφιβιος	living a double life
181	ἀμφίβιον	αμφιβιον	181	a-s---na-	ἀμφίβιος	αμφιβιος	living a double life
182	ἀμφίβιον	αμφιβιον	182	a-s---nn-	ἀμφίβιος	αμφιβιος	living a double life
183	ἀμφίβιον	αμφιβιον	183	a-s---nv-	ἀμφίβιος	αμφιβιος	living a double life
184	ἀναθυμίασιν	αναθυμιασιν	184	t-pp-amd-	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
185	ἀναθυμίασιν	αναθυμιασιν	185	t-pp-and-	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
186	ἀναθυμιωμένας	αναθυμιωμενας	186	t-pp-efa-	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
187	ἀναθυμιώμεναι	αναθυμιωμεναι	187	t-pp-efn-	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
188	ἀναθυμιώμεναι	αναθυμιωμεναι	188	t-pp-efv-	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
189	ἀναθυμιαθείς	αναθυμιαθεις	189	t-sa-pmn-	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
190	ἀναθυμιαθείς	αναθυμιαθεις	190	t-sa-pmv-	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
191	ἀναθυμιάσεων	αναθυμιασεων	191	t-sf-amn-	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
192	ἀναθυμιώμεναι	αναθυμιωμεναι	192	t-sp-efd-	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
193	ἀναθυμιωμένας	αναθυμιωμενας	193	t-sp-efg-	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
194	ἀναθυμιωμένης	αναθυμιωμενης	194	t-sp-efg-	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
195	ἀναθυμι-άω	αναθυμι-αω	195	v1spia---	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
196	ἀναθυμιάω	αναθυμιαω	196	v1spia---	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
197	ἀναθυμιάσεις	αναθυμιασεις	197	v2sasa---	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
198	ἀναθυμιάσεις	αναθυμιασεις	198	v2sfia---	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
199	ἀναθυμίασιν	αναθυμιασιν	199	v2spse---	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
200	ἀναθυμιῶνται	αναθυμιωνται	200	v3ppie---	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
201	ἀναθυμίασιν	αναθυμιασιν	201	v3ppsa---	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
202	ἀναθυμιῶνται	αναθυμιωνται	202	v3ppse---	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
203	ἀνεθυμιᾶτο	ανεθυμιατο	203	v3siie---	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
204	ἀναθυμιᾶται	αναθυμιαται	204	v3spie---	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
205	ἀναθυμίασιν	αναθυμιασιν	205	v3spsa---	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
206	ἀναθυμιᾶται	αναθυμιαται	206	v3spse---	ἀναθυμιάω	αναθυμιαω	to make to rise in vapour
207	ἀνεγγύω	ανεγγυω	207	a-d---fa-	ἀνέγγυος	ανεγγυος	not accredited
208	ἀνεγγύω	ανεγγυω	208	a-d---fn-	ἀνέγγυος	ανεγγυος	not accredited
209	ἀνεγγύω	ανεγγυω	209	a-d---fv-	ἀνέγγυος	ανεγγυος	not accredited
210	ἀνεγγύω	ανεγγυω	210	a-d---ma-	ἀνέγγυος	ανεγγυος	not accredited
211	ἀνεγγύω	ανεγγυω	211	a-d---mn-	ἀνέγγυος	ανεγγυος	not accredited
212	ἀνεγγύω	ανεγγυω	212	a-d---mv-	ἀνέγγυος	ανεγγυος	not accredited
213	ἀνεγγύω	ανεγγυω	213	a-d---na-	ἀνέγγυος	ανεγγυος	not accredited
214	ἀνεγγύω	ανεγγυω	214	a-d---nn-	ἀνέγγυος	ανεγγυος	not accredited
215	ἀνεγγύω	ανεγγυω	215	a-d---nv-	ἀνέγγυος	ανεγγυος	not accredited
216	ἀνέγγυον	ανεγγυον	216	a-s---fa-	ἀνέγγυος	ανεγγυος	not accredited
217	ἀνεγγύω	ανεγγυω	217	a-s---fg-	ἀνέγγυος	ανεγγυος	not accredited
218	ἀνέγγυος	ανεγγυος	218	a-s---fn-	ἀνέγγυος	ανεγγυος	not accredited
219	ἀνέγγυον	ανεγγυον	219	a-s---ma-	ἀνέγγυος	ανεγγυος	not accredited
220	ἀνεγγύω	ανεγγυω	220	a-s---mg-	ἀνέγγυος	ανεγγυος	not accredited
221	ἀνέγγυος	ανεγγυος	221	a-s---mn-	ἀνέγγυος	ανεγγυος	not accredited
222	ἀνέγγυον	ανεγγυον	222	a-s---na-	ἀνέγγυος	ανεγγυος	not accredited
223	ἀνεγγύω	ανεγγυω	223	a-s---ng-	ἀνέγγυος	ανεγγυος	not accredited
224	ἀνέγγυον	ανεγγυον	224	a-s---nn-	ἀνέγγυος	ανεγγυος	not accredited
225	ἀνέγγυον	ανεγγυον	225	a-s---nv-	ἀνέγγυος	ανεγγυος	not accredited
226	ἀπείργαθον	απειργαθον	226	t-sa-amv-	ἀπείργαθον	απειργαθον	to keep away, keep off from
227	ἀπείργᾰθον	απειργᾰθον	227	t-sa-amv-	ἀπείργαθον	απειργαθον	to keep away, keep off from
228	ἀποέργαθον	αποεργαθον	228	t-sa-amv-	ἀπείργαθον	απειργαθον	to keep away, keep off from
229	ἀπείργαθον	απειργαθον	229	t-sa-ana-	ἀπείργαθον	απειργαθον	to keep away, keep off from
230	ἀπείργᾰθον	απειργᾰθον	230	t-sa-ana-	ἀπείργαθον	απειργαθον	to keep away, keep off from
231	ἀποέργαθον	αποεργαθον	231	t-sa-ana-	ἀπείργαθον	απειργαθον	to keep away, keep off from
232	ἀπείργαθον	απειργαθον	232	t-sa-ann-	ἀπείργαθον	απειργαθον	to keep away, keep off from
233	ἀπείργᾰθον	απειργᾰθον	233	t-sa-ann-	ἀπείργαθον	απειργαθον	to keep away, keep off from
