,sequence,translation,sentiment,score
152,αδηρις,without strife,Disgust,0.9999668598175049
153,τωδ,Hades,Joy,0.9995988011360168
154,αδιαφθορια,"incorruption, uprightness",Disgust,0.9999663829803467
155,αδικημ,"a wrong done, a wrong",Joy,0.5305799245834351
156,ᾰδῐκια,"wrong-doing, injustice",Disgust,0.9999656677246094
157,αδικιον,"a wrong, wrong-dealing",Joy,0.9999622106552124
158,αδμης,untamed,Joy,0.9999657869338989
159,αδολεσχης,talking to satiety.,Joy,0.9998805522918701
160,αδολεσχια,"garrulity, idle talk",Disgust,0.8165993094444275
161,αδοξια,"ill-repute, disgrace",Disgust,0.9999675750732422
162,αδος,satio,Joy,0.9707233905792236
163,αδρηστεια,the Inevitable,Joy,0.99967360496521
164,αδρια,the Adriatic,Disgust,0.9999665021896362
165,αδροσυνη,,Disgust,0.9939326643943787
166,αδροτης,strength,Disgust,0.9999639987945557
167,αδρυας,"a kind of nymph, Hamadryad",Disgust,0.9999674558639526
168,αδῠνᾰμια,want of strength,Disgust,0.989651083946228
169,αδῠνᾰσια,,Disgust,0.9999665021896362
170,ᾰδῠτον,the innermost sanctuary,Disgust,0.9999691247940063
171,αδωνι,the mourning for Adonis,Joy,0.9999662637710571
172,αδωνις,Adonis,Joy,0.9999669790267944
173,αδων,,Joy,0.9999591112136841
174,αδωτης,one who gives nothing,Joy,0.9999524354934692
175,αειγενετης,"everlasting, immortal",Joy,0.9999663829803467
176,αεικιη,"unseemly treatment, outrage",Joy,0.9999701976776123
177,αειλογια,a continual talking,Joy,0.9998456239700317
178,αεινηστις,ever-fasting,Joy,0.9999426603317261
179,ασμ,,Joy,0.9999665021896362
180,αειφῠγια,perpetual exile,Joy,0.9998383522033691
181,αελλη,"a stormy wind, whirlwind, eddy",Joy,0.9999575614929199
182,αελλας,,Joy,0.9999594688415527
183,αελλα,eddying,Joy,0.9999691247940063
184,αελλοπος,"storm-footed, storm-swift",Disgust,0.9974408149719238
185,αελλω,storm,Joy,0.9999668598175049
186,ᾰελπτια,an unlooked for event,Disgust,0.9999583959579468
187,αεργιη,"a not working, idleness",Disgust,0.9999674558639526
188,αεροβατης,one who walks the air,Disgust,0.9996751546859741
189,αεροκοραξ,an air-raven,Disgust,0.9999688863754272
190,αεροκωνωψ,an air-gnat,Fear,0.999970555305481
191,αερομᾰχια,an air-battle,Disgust,0.9988799691200256
192,αερσιποτης,high-soaring,Disgust,0.999969482421875
193,αερσιπος,"lifting the feet, brisk-trotting",Disgust,0.9999696016311646
194,αεσιφροσυνη,"silliness, folly",Trust,0.9997915625572205
195,ᾱετος,an eagle,Disgust,0.9999687671661377
196,αετοφορος,a standard-bearer,Disgust,0.9999681711196899
197,αζη,drought,Disgust,0.9999464750289917
198,αζηλια,freedom from jealousy,Disgust,0.9999681711196899
199,αζυξ,"unyoked, unpaired, unmarried",Disgust,0.9999690055847168
200,αηδια,"unpleasantness, nauseousness",Disgust,0.9999402761459351
201,αηδονιδευς,a young nightingale,Joy,0.999822199344635
202,αδονις,a nightingale,Disgust,0.9999183416366577
203,αηδω,the songstress,Joy,0.9999703168869019
204,αηθια,unaccustomedness,Joy,0.999946117401123
205,αηθια,,Joy,0.999946117401123
206,αημα,"a blast, gale",Disgust,0.9978253841400146
207,ᾱηρ,"the lower air, the air",Joy,0.9999653100967407
208,αησις,a blowing,Joy,0.9954853057861328
209,αητη,,Joy,0.9999624490737915
210,αηθ,"a blast, gale",Joy,0.9999686479568481
211,αθᾰνᾰσια,immortality,Joy,0.999964714050293
212,αθαρη,groats,Joy,0.9999696016311646
213,ᾰθεμις,lawless,Disgust,0.9999696016311646
214,αθεοτης,ungodliness,Disgust,0.9999700784683228
215,αθεραπευσια,neglect of,Disgust,0.9999686479568481
216,αθηναιον,the temple of Athena,Joy,0.999969482421875
217,αθηνα,the city of Athens,Joy,0.9999607801437378
218,αθηνα,Athena,Joy,0.9999607801437378
219,αθηρηλοιγος,consumer of ears of corn,Joy,0.9999669790267944
220,αθηρ,an ear of corn,Joy,0.9999672174453735
221,αθλημα,a contest,Joy,0.9999432563781738
222,αθλησις,"a contest, struggle",Joy,0.9976444840431213
223,αθλητης,a prizefighter,Joy,0.999962568283081
224,αθλιοτης,"suffering, wretchedness",Disgust,0.9999555349349976
225,αθλοθετης,"one who awards the prize, the judge",Joy,0.8622018098831177
226,αθλον,the prize of contest,Joy,0.999967098236084
227,αθλος,a contest for a prize,Joy,0.9999659061431885
228,αθλοσυνη,,Joy,0.9999569654464722
229,αθροισις,"a gathering, mustering",Disgust,0.9999626874923706
230,αθροισμ,a gathering,Disgust,0.8085073828697205
231,αθῡμια,"want of heart, faintheartedness",Joy,0.9996433258056641
232,ᾰθυρμα,"a plaything, toy: a delight, joy",Disgust,0.9999701976776123
233,αθῠροστομια,,Disgust,0.9999687671661377
234,αθως,mount Athos,Joy,0.9999657869338989
235,αιαγμα,a wail,Fear,0.9966558218002319
236,αιακιδα,son of Aeacus,Joy,0.9999701976776123
237,αι,,Joy,0.9999637603759766
238,αιᾱς,Ajax,Joy,0.9999632835388184
239,αιγαγρος,the wild goat,Disgust,0.9953593611717224
240,αιγαιων,Aegaeon,Joy,0.9999691247940063
241,αιγᾰνεη,"a hunting-spear, javelin",Joy,0.8605280518531799
242,αιγειρος,the poplar,Trust,0.7252694964408875
243,αιγελατης,a goatherd,Disgust,0.9999673366546631
244,αιγιαλιτης,one who haunts the shore,Disgust,0.9999657869338989
245,αιγιᾰλος,"the sea-shore, beach, strand",Disgust,0.9999537467956543
246,αιγιβοσις,a goat-pasture,Joy,0.9999562501907349
247,αιγιβοτης,feeding goats,Joy,0.9999682903289795
248,αιγιθᾱλος,the titmouse,Disgust,0.999968409538269
249,αιγικορης,goatherds,Fear,0.9831589460372925
250,αιγιλιψ,destitute even of goats,Fear,0.9998923540115356
251,αιγῐλος,a herb of which goats are fond,Joy,0.9714809656143188
252,αιγιναιη,Aegina,Joy,0.9999680519104004
253,αιγιν,Aegina,Joy,0.9988113641738892
254,αιγινητα,an Aeginetan,Joy,0.9999637603759766
255,αιγῐνομευς,a goatherd,Disgust,0.9996756315231323
256,αιγιπους,goat-footed,Disgust,0.9999667406082153
257,αιγιπυρον,a plant,Fear,0.9999885559082031
258,αιγις,the aegis,Disgust,0.9998645782470703
259,αιγλη,"the light of the sun, radiance",Joy,0.9999344348907471
260,αιγοκερως,goat-horned,Disgust,0.999943733215332
261,αιγονυξ,,Disgust,0.9998341798782349
262,αιγοποδης,,Disgust,0.9999536275863647
263,αιγῠπιος,a vulture,Disgust,0.9999537467956543
264,αιγυπτος,the river Nile,Disgust,0.9999693632125854
265,αιγωνυξ,goat-hoofed,Disgust,0.9999638795852661
266,αιδεσις,respect,Joy,0.9851712584495544
267,αιδοιον,"the genitals, pudenda",Joy,0.9998385906219482
268,αιδριη,"want of knowledge, ignorance",Fear,0.9766886830329895
269,αιδρις,"unknowing, ignorant",Joy,0.9607728719711304
270,αιδως,"a sense of shame, shame, modesty, self-respect",Disgust,0.9827672243118286
271,αιζηιος,"strong, lusty, vigorous",Fear,0.9477534890174866
272,αιθαλη,soot,Disgust,0.9999681711196899
273,αιθαλιων,"swarthy, dusky",Fear,0.9819246530532837
274,αιθᾰλος,soot,Disgust,0.9999692440032959
275,αιθηρ,"ether, the brighter purer air, the sky",Fear,0.7312493324279785
276,αιθιοπιη,Ethiopia,Anger,0.856351375579834
277,αιθῐοψ,burnt-face,Fear,0.9999746084213257
278,αιθος,"a burning heat, fire",Fear,0.9999852180480957
279,αιθουσα,the corridor,Joy,0.9959480166435242
280,αιθοψ,fiery-looking,Fear,0.9999778270721436
281,αιθρηγενετης,"born in ether, sprung from ether",Fear,0.9999278783798218
282,αιθρη,"clear sky, fair weather",Fear,0.9999803304672241
283,αιθριη,in clear weather,Fear,0.9997270703315735
284,αιθρος,the clear chill air,Fear,0.9994128942489624
285,αιθυια,a gull,Disgust,0.9977447986602783
286,αιθυκτηρ,one that darts swiftly,Fear,0.9999842643737793
287,αιθων,"fiery, burning, blazing",Disgust,0.987218976020813
288,αικη,"rapid flight, rush, impetus",Joy,0.9999679327011108
289,αικια,"injurious treatment, an affront, outrage",Joy,0.9999681711196899
290,αικισμ,"an outrage, torture",Fear,0.9680307507514954
291,αικισμος,,Disgust,0.9999692440032959
292,αιλουρος,a cat,Joy,0.99993896484375
293,αιμ,blood,Joy,0.999970555305481
294,αιμᾰσια,a wall,Joy,0.9998012185096741
295,αιμας,a gush,Disgust,0.9999642372131348
296,αιμᾰτεκχυσια,shedding of blood,Disgust,0.9999076128005981
297,αιμᾰτοπωτης,a blood-drinker,Disgust,0.9952340722084045
298,αιματοχαρμης,delighting in blood,Joy,0.9998642206192017
299,αιμᾰτωψ,,Fear,0.9995587468147278
300,αιμορροια,a discharge of blood,Joy,0.999966025352478
301,αιμυλια,"winning, wily ways",Joy,0.9999569654464722
302,αιμῠλομητης,of winning wiles,Joy,0.9999562501907349
303,αιμων,skilful in,Joy,0.9999573230743408
304,αιναρετα,terribly brave,Disgust,0.9998733997344971
305,αινεσις,praise,Joy,0.9999560117721558
306,αινη,"praise, fame",Joy,0.9999604225158691
307,αινιγμ,"a dark saying, riddle",Disgust,0.9338611960411072
308,αινιγμος,a riddle,Fear,0.8848686814308167
309,αινοβιης,awefully strong,Joy,0.8861958980560303
310,αινολεων,a dreadful lion,Joy,0.9999698400497437
311,αινολῠκος,a horrible wolf,Joy,0.9999699592590332
312,αινοπᾰρις,unlucky Paris,Disgust,0.9992693066596985
313,αινοπατηρ,unhappy father,Disgust,0.9999309778213501
314,αινος,"a tale, story",Joy,0.9998230338096619
315,αινοτοκεια,unhappy in being a mother,Joy,0.998340368270874
316,αινοτυραννος,a dreadful tyrant,Joy,0.9999599456787109
317,αιξ,a goat,Disgust,0.9722107648849487
318,αιολις,an Aeolian,Joy,0.9999701976776123
319,αιολοβροντα,wielder of lightning,Joy,0.9999707937240601
320,αιολοθωρηξ,with glancing breastplate,Joy,0.9999366998672485
321,αιολομητις,full of various wiles,Joy,0.9999672174453735
322,αιολομιτρης,with glancing,Joy,0.9994723200798035
323,αιπολιον,a herd of goats,Joy,0.988713264465332
324,αιπολος,a goatherd,Fear,0.9976686835289001
325,αιπος,"a height, a steep",Disgust,0.9936634302139282
326,αιπυμητα,with high thoughts,Joy,0.9999693632125854
327,αιρεσις,a taking especially,Disgust,0.9851266741752625
328,αῑρος,unhappy Irus,Joy,0.999962329864502
329,αις,the goddess of destiny,Disgust,0.9999521970748901
330,αισθημα,perception of,Joy,0.9994996786117554
331,αισθησις,perception by the senses,Disgust,0.9937939643859863
332,αισθητηριον,an organ of sense,Disgust,0.9324076771736145
333,αισιμια,happiness,Fear,0.9991003274917603
334,αιστωρ,"unknowing, unconscious",Joy,0.9999531507492065
335,αισυμνητεια,an elective monarchy,Joy,0.5765981078147888
336,αισυμνητηρ,a prince,Fear,0.9999698400497437
337,αισυμνητης,a regulator,Fear,0.9999295473098755
338,αισχος,"shame, disgrace",Disgust,0.9999685287475586
339,αισχροκερδια,base covetousness,Disgust,0.9999696016311646
340,αισχρολογια,"foul language, abuse",Disgust,0.9999701976776123
341,αισχρομητις,forming base designs,Disgust,0.9999686479568481
342,αισχροτης,"ugliness, deformity",Disgust,0.9999698400497437
343,αισχρουργια,shameless conduct,Disgust,0.9999690055847168
344,αισχῡνη,"shame done one, disgrace, dishonour",Disgust,0.9998689889907837
345,αισχυντηρ,a dishonourer,Disgust,0.9999594688415527
346,κατ,"a beloved youth, favourite",Joy,0.9999680519104004
347,αιτημα,"a request, demand",Joy,0.9999209642410278
348,αιτησις,"a request, demand",Trust,0.9493641257286072
349,αιτιᾱμα,"a charge, guilt imputed",Sadness,0.999903678894043
350,αιτιη,"a charge, accusation",Joy,0.9997742772102356
351,αιχμᾰλωσια,captivity: a body of captives,Joy,0.9998835325241089
352,αιχμᾰλωτις,,Disgust,0.9161714911460876
353,αιχμη,the point of a spear,Joy,0.8879854679107666
354,αιχμητα,a spearman,Fear,0.999849796295166
355,αιων,aevum,Joy,0.9999686479568481
356,αιωρα,a machine for suspending,Joy,0.99996018409729
357,αιωρημα,"that which is hung up: a hanging cord, a halter",Fear,0.9999072551727295
358,ακαδημια,the Academy,Joy,0.9999566078186035
359,ακᾰθαρσια,"uncleanness, impurity",Disgust,0.9999690055847168
360,ακαινα,"a thorn, goad",Disgust,0.9997517466545105
361,ακαιρια,unfitness of times: unseasonableness,Disgust,0.9999476671218872
362,ακακης,,Joy,0.724826455116272
363,ακακητᾰ,"guileless, gracious",Disgust,0.9988503456115723
364,ακᾰκια,guilelessness,Disgust,0.9999372959136963
365,ακᾰλανθις,,Joy,0.9643629789352417
366,ακᾰλαρρειτης,soft-flowing,Disgust,0.9999661445617676
367,ακᾰληφη,a nettle,Disgust,0.9999679327011108
368,ᾰκᾰμαντολογχας,unwearied at the spear,Disgust,0.9999651908874512
369,ᾰκᾰμαντομᾰχας,unwearied in fight,Disgust,0.9999679327011108
370,ᾰκᾰμαντοπους,"untiring of foot, unwearied",Disgust,0.9999399185180664
371,ακανθα,"a thorn, prickle",Disgust,0.9999651908874512
372,ακανθις,the goldfinch,Disgust,0.9999662637710571
373,ακανθοβατης,walking among thorns,Disgust,0.9999657869338989
374,ακανθος,,Disgust,0.9979096055030823
375,ακαρπια,"unfruitfulness, barrenness",Disgust,0.9999687671661377
376,ακατιον,a light boat,Joy,0.9999632835388184
377,ᾰκᾰτος,a light vessel,Joy,0.9999551773071289
378,ᾰκερδεια,"want of gain, loss",Disgust,0.9999680519104004
379,ακερματια,want of money,Disgust,0.9999680519104004
380,ακερσεκομα,with unshorn hair,Joy,0.9153910875320435
381,ακεσις,"a healing, cure",Disgust,0.9999688863754272
382,ᾰκεσμα,"a remedy, cure",Disgust,0.9999682903289795
383,ακεστηρ,a healer,Disgust,0.9997208714485168
384,ακεστης,menders,Disgust,0.9999654293060303
385,ακεστορια,the healing art,Disgust,0.9999635219573975
386,ακεστρα,a darning-needle,Disgust,0.9999526739120483
387,ακεστρια,a sempstress,Disgust,0.9999663829803467
388,ακεστωρ,"a healer, saviour",Disgust,0.9999427795410156
389,ακημα,"a cure, relief",Disgust,0.9999686479568481
390,ακη,a point,Anger,0.9913840293884277
391,ακῑκυς,"powerless, feeble",Disgust,0.9999688863754272
392,ακινακης,a short straight sword,Disgust,0.999962329864502
393,ακῐς,"a point, the barb",Disgust,0.9999665021896362
394,ακκω,a bugbear,Disgust,0.9995624423027039
395,ακλεες,"without fame, inglorious, unsung",Disgust,0.9999675750732422
396,ακλεια,ingloriousness,Joy,0.9996858835220337
397,ακμη,"a point, edge",Disgust,0.9999628067016602
398,ακμης,"untiring, unwearied",Disgust,0.9999675750732422
399,ακμοθετον,"the anvil-block, smithy",Trust,0.9999206066131592
400,ακμονιον,,Disgust,0.9996861219406128
401,ακμων,a thunderbolt,Disgust,0.9999285936355591
402,ακνηστις,the spine,Sadness,0.999765932559967
403,ᾰκοα,"a hearing, the sound heard",Disgust,0.9999686479568481
404,ᾰκοιτας,"a bedfellow, spouse, husband.",Disgust,0.9999678134918213
405,ᾰκοιτις,"a spouse, wife",Disgust,0.9999675750732422
406,ακολᾰσια,"licentiousness, intemperance",Disgust,0.9999681711196899
407,ακολᾰστημα,an act of,Disgust,0.9999680519104004
408,ακολος,"a bit, morsel",Disgust,0.9999674558639526
409,ακολουθια,"a following, train",Joy,0.9999681711196899
410,ακομιστιη,want of tending,Disgust,0.9999675750732422
411,ᾰκονα,"a whetstone, hone",Disgust,0.9999674558639526
412,ακονῑτον,aconite,Disgust,0.9999637603759766
413,ακοντιον,,Disgust,0.9999617338180542
414,ακοντῐσις,javelin-throwing,Disgust,0.9999597072601318
415,ακοντισμα,a javelin's throw,Disgust,0.9999679327011108
416,ακοντισμος,,Disgust,0.9999641180038452
417,ακοντιστης,"a darter, javelin-man",Disgust,0.9999639987945557
418,ακοντιστυς,the game of throwing the javelin,Disgust,0.999963641166687
419,ακοσμια,disorder,Disgust,0.9999679327011108
420,ᾰκος,"a cure, relief, remedy for",Disgust,0.999968409538269
421,ακοστη,barley,Disgust,0.9999538660049438
422,ακουη,,Disgust,0.9999353885650635
423,ακουσμ,a thing heard,Fear,0.9996022582054138
424,ακρη,"a headland, foreland, cape",Joy,0.9999675750732422
425,ακρᾱσια,"bad mixture, ill temperature",Disgust,0.9999686479568481
426,ακρᾱτια,"incontinence, want of self-control",Disgust,0.9999691247940063
427,ακρᾱτισμα,a breakfast,Disgust,0.9999692440032959
428,ακρητοποσιη,a drinking of sheer wine,Joy,0.9945666790008545
429,ακρητοποτης,a drinker of sheer wine,Disgust,0.9999648332595825
430,ακρατωρ,,Disgust,0.9848309755325317
431,ακροχολια,"passionateness, burst of passion",Disgust,0.999962329864502
432,ακρεμων,"a branch, twig, spray",Disgust,0.9999531507492065
433,ακρηβης,a youth in his prime,Disgust,0.9999675750732422
434,ακρῑβεια,"exactness, minute accuracy, precision",Trust,0.9956086277961731
435,ακριδοθηκη,a locust-cage,Fear,0.999967098236084
436,ακρῐσια,want of distinctness,Disgust,0.9999687671661377
437,ακρις,a locust,Disgust,0.9999697208404541
438,ακρις,a hill-top,Disgust,0.9999697208404541
439,ακροᾱμα,anything heard with pleasure,Joy,0.9864602088928223
440,ακροᾱσις,a hearing,Joy,0.9996989965438843
441,ακροᾱτηριον,a place of audience,Surprise,0.4901912808418274
442,ακροᾱτης,a hearer,Disgust,0.9999520778656006
443,ακροβολια,"a slinging, skirmishing",Disgust,0.9998970031738281
444,ακροβολισις,a skirmishing,Disgust,0.9997144341468811
445,ακροβολος,"a slinger, skirmisher",Disgust,0.9999639987945557
446,ακροβυστια,the foreskin,Disgust,0.9999682903289795
447,ακροδρυα,fruit-trees,Joy,0.9996923208236694
448,ακροθινιον,"the topmost part of a heap, the choice part, first-fruits",Joy,0.9914349913597107
449,ακροκορινθος,the citadel of Corinth,Disgust,0.9999674558639526
450,ακρολοφιτης,a mountaineer,Disgust,0.9999687671661377
451,ᾰκρον,the highest,Joy,0.9995949864387512
452,ακροπολις,the upper city,Disgust,0.9999693632125854
453,ακροπρωρον,the end of a ship's prow,Joy,0.9999560117721558
454,ακροπτερον,the tip of the wing,Disgust,0.9999438524246216
455,ακροστολιον,the gunwale,Joy,0.9922487735748291
456,ακροτελευτιον,the fag-end,Disgust,0.999444305896759
